Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course_Delivery_Mode,FREE_TAFE,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
DIP,Gordon Geelong Institute of TAFE,Melbourne (Geelong City Campus),FNS50217 Diploma of Accounting,Business & Commerce & Finance & Accounting,7930,7930,AUD,Course,6,Months,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/fns50217-diploma-of-accounting,English,A,"This course will extend your theoretical and practical skills for an advanced career in accounting and finance. You will learn about budgeting and forecasting, preparation of financial reports, internal control, income tax returns and legislative compliance.

This course is eligible for JobTrainer and Free TAFE in 2021. Click here for eligibility criteria. Office administrator
Bookkeeper
Senior accounts clerk
Assistant accountant",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 17 years and over at the time of course commencement
Applicants must have completed either the FNSSS00014 Accounting Principles Skill Set, FNS40615 Certificate IV in Accounting, FNS40215 Certificate IV in Bookkeeping or equivalent. 
Applicants must be able to provide their Year 12 certificate OR evidence that they have completed a Certificate IV or above level, otherwise they will be required to undertake an independent assessment test to ensure they can satisfactorily attain Level 3 in both reading and numeracy to apply for a VET Student Loan. To meet the academic requirements for the course, applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3",Normal,No,Implement and maintain internal control procedures,,,Manage budgets and forecasts,,,Prepare financial reports for corporate entities,,,Prepare tax documentation for individuals,,,Provide financial and business performance information,,,Provide management accounting information,,,Apply legal principles in contract and consumer law,,,Apply legal principles in corporations and trust law,,,Apply principles of professional practice to work in the financial services industry,,,Develop and use emotional intelligence,,,Prepare and administer tax documentation for legal entities,,,Work effectively in the accounting and bookkeeping industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gordon Geelong Institute of TAFE,Melbourne,25G01812 Introduction to Business Administration,Business & Commerce & Finance & Accounting,,,AUD,Course,,,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/25g01812-introduction-to-business-administration,English,A,"Whether you’re looking to get back into the workforce or just need to refresh your existing admin skills, this course will help improve your employment prospects.

Through a series of four online modules, this free short course covers basic computer skills, telephone techniques, providing customer service excellence, and how to communicate in an online environment using platforms like Zoom and Microsoft Teams.

This course is delivered fully online and should take between 8-16 hours to complete. 

Topics include: Basic computer skills
Telephone techniques
Customer service excellence
How to communicate in an online environment using platforms like Zoom and Microsoft Teams",,Australia,No,Yes,No,Yes,No,,Traineeship,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gordon Geelong Institute of TAFE,Melbourne,25G01813 Introduction to Administration Medical,Business & Commerce & Finance & Accounting,,,AUD,Course,,,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/25g01813-introduction-to-administration-medical,English,A,"With the healthcare industry being one of the largest employers in the region, you might be interested in using your down time to upskill into medical administration. This free short course includes two online modules which will give you knowledge of basic medical terminology, and how to control stocks and supplies – both essential skills for anyone considering working in the health sector. 

This course is well-suited to existing administration professionals looking to learn some new skills. It is also an ideal introduction to BSB3115 Certificate III in Business Administration (Medical) should you wish to continue your studies.

This course is delivered fully online and should take between 4-8 hours to complete.

Topics include: Basic medical terminology
Understanding how to assist in controlling stocks and supplies",,Australia,No,Yes,No,Yes,No,,Traineeship,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Gordon Geelong Institute of TAFE,Melbourne (East Geelong Campus),AHC41019 Certificate IV in Agribusiness,Agriculture,11900,11900,AUD,Course,1,Year,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/ahc41019-certificate-iv-in-agribusiness,English,A,"This nationally recognised agribusiness course has been designed to equip you with business skills to develop and implement the administrative and operational requirements associated with agricultural production and services. This course is suited to individuals who may be required to supervise and lead other workers or teams and be involved in some decision-making.  Work may take place in a range of industry sectors and complex, regularly changing environments. 

The Program has been designed in consultation with industry leaders within the agribusiness profession. It includes industry engagement, case studies and field trips to develop your networking and decision-making skills that will enable you to manage and direct an agricultural enterprise successfully.

Blended delivery combines online content with face to face workshops, and is self-directed learning.  This unique delivery helps with learning and embedding of learning practices. Participants will undertake a minimum of 10 -15 hours of study per week, for the duration of the course. This includes reading, research and completion of activities in preparation of the workshops. Agribusiness administrator
Assistant Farm manager supervisor
Production manager 
Manager small farm production",,Australia,Yes,Yes,No,Yes,Yes,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 18 or over
To meet the academic requirements for the course, applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3
Applicants must have relevant experience in the Agribusiness sector",Normal,No,Analyse and interpret production data,,,Keep financial records for primary production business,,,Maintain work health and safety processes,,,Analyse and present research information,,,Assess new industry developments,,,Collect and manage data,,,Cost a project,,,Identify risk and apply risk management processes,,,Implement and monitor quality assurance procedures,,,Make a presentation,,,Operate within a budget framework,,,Provide information on issues and policies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Gordon Geelong Institute of TAFE,Melbourne,AHC41019 Certificate IV in Agribusiness,Agriculture,11900,11900,AUD,Course,1,Year,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/ahc41019-certificate-iv-in-agribusiness,English,A,"This nationally recognised agribusiness course has been designed to equip you with business skills to develop and implement the administrative and operational requirements associated with agricultural production and services. This course is suited to individuals who may be required to supervise and lead other workers or teams and be involved in some decision-making.  Work may take place in a range of industry sectors and complex, regularly changing environments. 

The Program has been designed in consultation with industry leaders within the agribusiness profession. It includes industry engagement, case studies and field trips to develop your networking and decision-making skills that will enable you to manage and direct an agricultural enterprise successfully.

Blended delivery combines online content with face to face workshops, and is self-directed learning.  This unique delivery helps with learning and embedding of learning practices. Participants will undertake a minimum of 10 -15 hours of study per week, for the duration of the course. This includes reading, research and completion of activities in preparation of the workshops. Agribusiness administrator
Assistant Farm manager supervisor
Production manager 
Manager small farm production",,Australia,Yes,Yes,No,Yes,Yes,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 18 or over
To meet the academic requirements for the course, applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3
Applicants must have relevant experience in the Agribusiness sector",Normal,No,Analyse and interpret production data,,,Keep financial records for primary production business,,,Maintain work health and safety processes,,,Analyse and present research information,,,Assess new industry developments,,,Collect and manage data,,,Cost a project,,,Identify risk and apply risk management processes,,,Implement and monitor quality assurance procedures,,,Make a presentation,,,Operate within a budget framework,,,Provide information on issues and policies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Gordon Geelong Institute of TAFE,Melbourne,BSB30115 Certificate III in Business~,Business & Commerce & Finance & Accounting,7436,7436,AUD,Course,2,Years,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/bsb30115-certificate-iii-in-business~,English,A,"Are you looking to gain an administration or customer service role? This course is completed via a traineeship, where you are employed in a business and learn a broad range of skills in the workplace, along with some online study. Gain fundamental business skills and knowledge to successfully perform a wide range of duties in diverse industries. Upon successful completion, you should have the relevant knowledge and skills to provide advice and support to a team. Customer Service adviser
Data entry operator
General clerk
Payroll officer
Typist
Word processing operator",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 16 years and over at the time of course commencement
Any student under the age of 17 must provide a Transition from School form prior to undertaking this course.
Applicants are expected to have literacy at Year 11 or Australian Core Skills Framework Level 3 and numeracy skills at Year 10 or Australian Core Skills Framework Level 2
Apprenticeship and traineeship applicants must be currently employed under a training contract and referred by their employer",Traineeship,No,Apply knowledge of WHS legislation in the workplace,,,Comply with organisational requirements for protection and use of intellectual property,,,Conduct online transactions,,,Contribute to effective workplace relationships,,,Contribute to team effectiveness,,,Create and use databases,,,Create electronic presentations,,,Create electronic presentations,,,Deliver and monitor a service to customers,,,Design and produce business documents,,,Design and produce digital text documents,,,Design and produce spreadsheets,,,Design and produce text documents,,,Implement and monitor environmentally sustainable work practices,,,Maintain business resources,,,Maintain financial records,,,Organise personal work priorities and development,,,Organise workplace information,,,Process customer complaints,,,Produce desktop published documents,,,Produce spreadsheets,,,Promote innovation in a team environment,,,Provide Workplace Information And Resourcing Plans,,,Purchase goods and services,,,Recommend products and services,,,Support a workplace learning environment,,,Support continuous improvement systems and processes,,,Support operational plan,,,Utilise a knowledge management system,,,Work effectively as an off-site worker,,,Work effectively with diversity,,,Write simple documents,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Gordon Geelong Institute of TAFE,Melbourne (Werribee Princes Campus),BSB31115 Certificate III in Business Administration (Medical)~,Business & Commerce & Finance & Accounting,6891,6891,AUD,Course,2,Years,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/bsb31115-certificate-iii-in-business-administratio,English,A,"Are you just starting out in the workforce or planning a career change, and looking to work in a medical office environment? This course provides a sound basis, particularly if you are starting with little or no administrative or technical skills. The course covers core topics in business administration, computer skills, medical terminology, accounts and patient records. Medical receptionist
Medical records clerk
Medical secretary
Administration assistant",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 16 or over at the time of course commencement
Any student under the age of 17 must provide a Transition from School form prior to undertaking this course.
Applicants are expected to have literacy at Year 11 or Australian Core Skills Framework Level 3 and numeracy skills at Year 10 or Australian Core Skills Framework Level 2
Apprenticeship and traineeship applicants must be currently employed under a training contract and referred by their employer.",Traineeship,No,Contribute to health and safety of self and others,,,Develop keyboarding speed and accuracy,,,Apply the principles of confidentiality privacy and security within the medical environment,,,Assist in controlling stocks and supplies,,,Deliver and monitor a service to customers,,,Design and produce digital text documents,,,Design and produce spreadsheets,,,Interpret and apply medical terminology appropriately,,,Manage patient recordkeeping system,,,Organise personal work priorities and development,,,Organise schedules,,,Prepare and process medical accounts,,,Write simple documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Gordon Geelong Institute of TAFE,Melbourne (Geelong City Campus),BSB31115 Certificate III in Business Administration (Medical)~,Business & Commerce & Finance & Accounting,6891,6891,AUD,Course,2,Years,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/bsb31115-certificate-iii-in-business-administratio,English,A,"Are you just starting out in the workforce or planning a career change, and looking to work in a medical office environment? This course provides a sound basis, particularly if you are starting with little or no administrative or technical skills. The course covers core topics in business administration, computer skills, medical terminology, accounts and patient records. Medical receptionist
Medical records clerk
Medical secretary
Administration assistant",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 16 or over at the time of course commencement
Any student under the age of 17 must provide a Transition from School form prior to undertaking this course.
Applicants are expected to have literacy at Year 11 or Australian Core Skills Framework Level 3 and numeracy skills at Year 10 or Australian Core Skills Framework Level 2
Apprenticeship and traineeship applicants must be currently employed under a training contract and referred by their employer.",Traineeship,No,Contribute to health and safety of self and others,,,Develop keyboarding speed and accuracy,,,Apply the principles of confidentiality privacy and security within the medical environment,,,Assist in controlling stocks and supplies,,,Deliver and monitor a service to customers,,,Design and produce digital text documents,,,Design and produce spreadsheets,,,Interpret and apply medical terminology appropriately,,,Manage patient recordkeeping system,,,Organise personal work priorities and development,,,Organise schedules,,,Prepare and process medical accounts,,,Write simple documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Gordon Geelong Institute of TAFE,Melbourne,BSB31115 Certificate III in Business Administration (Medical)~,Business & Commerce & Finance & Accounting,6891,6891,AUD,Course,2,Years,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/bsb31115-certificate-iii-in-business-administratio,English,A,"Are you just starting out in the workforce or planning a career change, and looking to work in a medical office environment? This course provides a sound basis, particularly if you are starting with little or no administrative or technical skills. The course covers core topics in business administration, computer skills, medical terminology, accounts and patient records. Medical receptionist
Medical records clerk
Medical secretary
Administration assistant",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 16 or over at the time of course commencement
Any student under the age of 17 must provide a Transition from School form prior to undertaking this course.
Applicants are expected to have literacy at Year 11 or Australian Core Skills Framework Level 3 and numeracy skills at Year 10 or Australian Core Skills Framework Level 2
Apprenticeship and traineeship applicants must be currently employed under a training contract and referred by their employer.",Traineeship,No,Contribute to health and safety of self and others,,,Develop keyboarding speed and accuracy,,,Apply the principles of confidentiality privacy and security within the medical environment,,,Assist in controlling stocks and supplies,,,Deliver and monitor a service to customers,,,Design and produce digital text documents,,,Design and produce spreadsheets,,,Interpret and apply medical terminology appropriately,,,Manage patient recordkeeping system,,,Organise personal work priorities and development,,,Organise schedules,,,Prepare and process medical accounts,,,Write simple documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Gordon Geelong Institute of TAFE,Melbourne (Geelong City Campus),BSB40215 Certificate IV in Business~,Business & Commerce & Finance & Accounting,5102,5102,AUD,Course,4,Years,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/bsb40215-certificate-iv-in-business~,English,A,"Are you looking to further develop your career in administration or project administration, and to gain further skills or seek higher-level roles?

The course can be undertaken as a traineeship or in the classroom. If you are currently employed and would like to upskill our traineeship is a great way to learn as you work.

This business course will cover a broad range of administrative skills in varied work environments. You'll learn to apply solutions to a range of unpredictable problems, as well as analysis and evaluation of information from a variety of sources. You may also provide leadership and guidance to others, with some limited responsibility for the output of others. Office Administration Assistant
Medical Receptionist
Accounts Clerk
Secretarial services
Administrator
Project Officer",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 17 or over at the time of course commencement
Applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3
Apprenticeship and traineeship applicants must be currently employed under a training contract and referred by their employer.",Traineeship,No,Implement and monitor WHS policies procedures and programs to meet legislative requirements,,,Coordinate implementation of customer service strategies,,,Design and develop complex text documents,,,Develop and use complex spreadsheets,,,Develop teams and individuals,,,Implement continuous improvement,,,Lead effective workplace relationships,,,Make a presentation,,,Support the recruitment selection and induction of staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Gordon Geelong Institute of TAFE,Melbourne,BSB40215 Certificate IV in Business~,Business & Commerce & Finance & Accounting,5102,5102,AUD,Course,4,Years,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/bsb40215-certificate-iv-in-business~,English,A,"Are you looking to further develop your career in administration or project administration, and to gain further skills or seek higher-level roles?

The course can be undertaken as a traineeship or in the classroom. If you are currently employed and would like to upskill our traineeship is a great way to learn as you work.

This business course will cover a broad range of administrative skills in varied work environments. You'll learn to apply solutions to a range of unpredictable problems, as well as analysis and evaluation of information from a variety of sources. You may also provide leadership and guidance to others, with some limited responsibility for the output of others. Office Administration Assistant
Medical Receptionist
Accounts Clerk
Secretarial services
Administrator
Project Officer",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 17 or over at the time of course commencement
Applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3
Apprenticeship and traineeship applicants must be currently employed under a training contract and referred by their employer.",Traineeship,No,Implement and monitor WHS policies procedures and programs to meet legislative requirements,,,Coordinate implementation of customer service strategies,,,Design and develop complex text documents,,,Develop and use complex spreadsheets,,,Develop teams and individuals,,,Implement continuous improvement,,,Lead effective workplace relationships,,,Make a presentation,,,Support the recruitment selection and induction of staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Gordon Geelong Institute of TAFE,Melbourne (East Geelong Campus),BSB51918 Diploma of Leadership and Management~,Humanities and Social Science,10140,10140,AUD,Course,18,Months,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/bsb51918-diploma-of-leadership-and-management~,English,A,"In today’s innovative and entrepreneurial workplace it is essential that you keep up with the continuously improving business environment. The Diploma of Leadership and Management will provide the opportunity to learn methods to motivate and inspire your team to achieve success by developing your emotional intelligence, strengthening workplace relationships and managing operational plans.

The Diploma in Leadership and Management will assist you to build your skills in active listening and effective communication. The course will show you how to build the confidence and motivation of a team, while establishing a collaborative and creative thinking atmosphere. You will also learn about solution based problem solving, critical thinking and self-awareness. Team Leader/Manager
Senior Manager
Business Development Manager
Production Manager
Corporate Services Manager",,Australia,Yes,Yes,No,Yes,Yes,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 18 or over at the time of course commencement
Applicants should be working in one of the roles outlined above, have relieved for managers in one of those roles or have worked in those roles sometime in the past 5 years.
Applicants must be able to provide their Year 12 certificate OR evidence that they have completed a Certificate IV or above level, otherwise they will be required to undertake an independent assessment test to ensure they can satisfactorily attain Level 3 in both reading and numeracy to apply for a VET Student Loan. To meet the academic requirements for the course, applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3",Normal,No,Develop and use emotional intelligence,,,Lead and manage effective workplace relationships,,,Lead and manage team effectiveness,,,Manage operational plan,,,Assess new industry developments,,,Build and sustain an innovative work environment,,,Communicate with influence,,,Develop critical thinking in others,,,Facilitate continuous improvement,,,Manage personal work priorities and professional development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Gordon Geelong Institute of TAFE,Melbourne (Geelong City Campus),HLT47315 Certificate IV in Health Administration,English,7588,7588,AUD,Course,1,Year,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/hlt47315-certificate-iv-in-health-administration,English,A,"This course will build on your previous study or workplace skills in medical administration to prepare you for a senior operational or team leading role in the health industry.

You will learn work health and safety, patient and inventory records, medical terminology, workplace and customer service skills, staff recruitment and induction, working with diverse people, medical software systems, MYOB, and advanced Word and Excel skills.

This course is eligible for JobTrainer in 2021. Senior medical receptionist/secretary
Team leader in a medical office
Administration assistant",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 17 years or over at the time of course commencement
Applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3",Normal,No,Implement continuous improvement,,,Interpret and apply medical terminology appropriately,,,Lead effective workplace relationships,,,Maintain work health and safety,,,Work legally and ethically,,,Work with diverse people,,,Coordinate implementation of customer service strategies,,,Design and develop complex text documents,,,Develop and use complex spreadsheets,,,Develop teams and individuals,,,Make a presentation,,,Manage patient recordkeeping system,,,Prepare and process medical accounts,,,Support the recruitment selection and induction of staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Gordon Geelong Institute of TAFE,Melbourne (Werribee Princes Campus),TAE40116 Certificate IV in Training and Assessment,Humanities and Social Science,5320,5320,AUD,Course,1,Year,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/tae40116-certificate-iv-in-training-and-assessment,English,A,"Once you are competent in your chosen area of teaching and assessing, you can study this course and progress to deliver training and assessment in the vocational education and training (VET) sector and the workplace. 

This qualification, ensures graduates learn to address language, literacy and numeracy skills when training and assessing. Graduates will learn how to plan, develop, validate and conduct assessments. After completion you will have learnt how to deliver presentations, deliver training to groups, deliver workplace training to individuals, address learners’ language, literacy and numeracy skills, develop learning programs based on national training packages and conduct competency-based assessment. Industry trainer and/or assessor
Vocational Education and Training (VET) trainer and assessor
Training advisor or training needs analyst",,Australia,Yes,Yes,No,Yes,Yes,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be 18 years and over at the time of course commencement
Applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3
Applicants must be able to demonstrate vocational competency in their proposed teaching and assessing area. Vocational competency is defined as broad industry knowledge and experience, and may include, but is not limited to, holding a relevant unit of competency or qualification.",Normal,No,Address adult language literacy and numeracy skills,,,Assess competence,,,Design and develop assessment tools,,,Design and develop learning programs,,,Participate in assessment validation,,,Plan assessment activities and processes,,,Plan organise and deliver group-based learning,,,Plan organise and facilitate learning in the workplace,,,Use training packages and accredited courses to meet client needs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
