Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
PG,Macquarie University,North Ryde,Master of Business Analytics,Business & Commerce & Finance & Accounting,"39,200",,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-business-analytics,English,I,"Measuring performance is big business. Today, most of the world’s major companies employ business analytics to gain valuable business insights and get an edge on their competitors. Using data modelling and statistical analysis, business analytics allows companies to measure their past performance, improve efficiency, increase profits, continuously improve, innovate and make educated decisions that drive the organisation forward. 
This comprehensive, flexible degree has a strong focus on the real-world application of business analytics tools and techniques. You’ll develop your knowledge and understanding of computer programming, databases, applied statistics and machine learning techniques applied to big data. You’ll become adept at recognising the importance of ethical reasoning in the solution of analytic-related problems. And you’ll learn how to collaborate and communicate effectively with diverse teams to achieve a range of purposes in different contexts.",PROFESSIONS: Business planning executive. Consumer analyst. Data insights analyst. Data scientist. Data visualisation analyst. Financial analyst. Human resources officer. Information technology analyst. Management consultant. Marketing analyst. Public service adviserEMPLOYERS: Banks. Business analyst firms. Consulting firms. Financial institutions. Government organisations. Insurance companies. Large businesses. Marketing and PR firms. Retail. Small businesses,Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Chiropractic,Science and Health Science,"44,400",,AUD,Years,2,Years,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-chiropractic,English,I,"Chiropractors have the unique privilege of being able to positively impact people’s lives through the provision of natural and non-invasive healthcare methods. They have a deep understanding of the body’s structures and how each interact to affect our health. Using spinal adjustments, manipulation and other physical means to improve neuromusculoskeletal function, chiropractors can help us live healthy and active lives.
This rigorous degree will prepare you for a rewarding career in one of the largest primary health professions. As a graduate, you’ll be equipped with the full diagnostic and clinical management knowledge and skills you’ll need to work in private practice, chiropractic sports medicine, allied health areas, health insurance assessment, medico-legal advising, work health and safety, rehabilitation and research.
Watch this video to find out more about Chiropractic at Macquarie.",PROFESSIONS: Chiropractor. Allied health worker. Healthcare adviser. Integrated care professional. Rehabilitation service provider. Researcher. Sports injury specialistEMPLOYERS: Chiropractic clinics. Aged care facilities. Government health and sporting agencies. Health clubs. Hospitals. Sport and recreation agencies. Sporting clubs and teams,Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Clinical Audiology,Medical and Nursing,"52,400",,AUD,Years,2,Years,Yes,No,,,IELTS,7,https://courses.mq.edu.au/2021/international/postgraduate/master-of-clinical-audiology,English,I,"Communication is a vital aspect of what it means to be human, and hearing is critical to communicating effectively. Audiologists experts in the non-medical management of hearing disorders play a key role in assisting those with hearing impairments to successfully engage with society.
This course will provide you with the skills, knowledge and training you'll need to practice as a qualified clinical audiologist. It will develop your skills in assessment strategies, rehabilitation and habilitation of the hearing impaired, as well as provide you with training in research design.",PROFESSIONS: Chiropractor. Allied health worker. Healthcare adviser. Integrated care professional. Rehabilitation service provider. Researcher. Sports injury specialistEMPLOYERS: Chiropractic clinics. Aged care facilities. Government health and sporting agencies. Health clubs. Hospitals. Sport and recreation agencies. Sporting clubs and teams,Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Clinical Neuropsychology,Medical and Nursing,"38,800",,AUD,Years,2,Years,Yes,No,,,,,https://courses.mq.edu.au/2021/international/postgraduate/master-of-clinical-neuropsychology,English,I,"Clinical neuropsychologists are specialists who understand the cognitive, emotional and behavioural effects of brain-based conditions such as dementia, stroke, traumatic brain injury, epilepsy, autism-spectrum conditions, multiple sclerosis and psychiatric disorders.
They provide assessments and treatment recommendations that may employ cognitive, educational, behavioural or psychosocial methods. Grounded in theory and practice, this course will provide you with the knowledge, skills and qualifications you need to work within a range of clinically oriented areas. Upon graduation, you'll be eligible for registration with the Psychology Board of Australia.",PROFESSIONS: Chiropractor. Allied health worker. Healthcare adviser. Integrated care professional. Rehabilitation service provider. Researcher. Sports injury specialistEMPLOYERS: Chiropractic clinics. Aged care facilities. Government health and sporting agencies. Health clubs. Hospitals. Sport and recreation agencies. Sporting clubs and teams,Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Clinical Psychology,Medical and Nursing,"38,800",,AUD,Years,2,Years,Yes,No,,,,,https://courses.mq.edu.au/2021/international/postgraduate/master-of-clinical-psychology,English,I,"Clinical psychologists are experts in the assessment, diagnosis and treatment of a wide range of psychological and mental health issues across the lifespan. They are most often involved in the design and implementation of treatment strategies in settings such as primary care, psychiatric hospitals, community based mental health services and private practice, but also may be involved in research and teaching.
This course will provide you with the skills, knowledge and training you'll need to practice as a qualified clinical psychologist. As a graduate, you'll be an expert in the delivery of a range of psychological therapies, and have additional skills to also engage in pursuits such as consultation, public policy, forensic testimony, and program development and administration.",PROFESSIONS: Chiropractor. Allied health worker. Healthcare adviser. Integrated care professional. Rehabilitation service provider. Researcher. Sports injury specialistEMPLOYERS: Chiropractic clinics. Aged care facilities. Government health and sporting agencies. Health clubs. Hospitals. Sport and recreation agencies. Sporting clubs and teams,Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Commerce,Business & Commerce & Finance & Accounting,"39,200",,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-commerce,English,I,"In today's fast-moving and complex business environment, a comprehensive understanding of all business functions, in combination with a set of practical skills, will enable you to succeed as an in-demand business professional.
This practical and flexible course designed to meet employer needs will extend your business knowledge, making you highly employable in a wide range of careers. You can choose to complete one or two specialisations to develop depth in your chosen discipline.",PROFESSIONS: corporate governance risk officer. financial crime analyst. finance manager. general manager. management accountant. management consultant. market analyst. marketing manager. product development managerEMPLOYERS: accounting and consulting firms. large and small businesses. business analyst firms. financial institutions. marketing and PR firms. government organisations. merchant bankers. stockbrokers. management consultancy firms,Australia,No,Yes,No,Yes,No,
CONF,Macquarie University,North Ryde,Master of Conference Interpreting,Business & Commerce & Finance & Accounting,"33,600",,AUD,Years,2,Years,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-conference-interpreting,English,I,"Are you highly proficient and able to fluently converse in one or several languages in addition to English? Do you have a deep knowledge of one or several cultures? Do you have an interest in current international affairs? Are you committed to helping others communicate? Are you calm, tactful, quick thinking and able to multitask? Would you like a career that can take you around the globe? If so, a career in conference interpreting may be for you.
This degree will enable you to develop the specialised cognitive and practical skills required for conference interpreting. This involves interpreting source speeches in the simultaneous or consecutive modes while preserving the meaning, tone and nuances of the original speaker. You’ll learn how to undertake effective research to inform your interpreting in a range of high-level scientific, diplomatic and technical domains.",PROFESSIONS: corporate governance risk officer. financial crime analyst. finance manager. general manager. management accountant. management consultant. market analyst. marketing manager. product development managerEMPLOYERS: accounting and consulting firms. large and small businesses. business analyst firms. financial institutions. marketing and PR firms. government organisations. merchant bankers. stockbrokers. management consultancy firms,Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Conservation Biology,Business & Commerce & Finance & Accounting,"38,800",,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-conservation-biology,English,I,"The survival of all life on earth depends on properly functioning ecosystems. Without biodiversity, ecosystems break down. When this happens, our water systems, the air we breathe and the environments in which we grow food are all impacted.
Conserving the environment has become a global priority, and those with specialist skills in identifying and implementing strategies for preserving our rich diversity are in demand. This course, which focuses on the theory, practice and ethics of biological conservation from the level of wild populations to entire ecosystems, will equip you with such specialist skills.",PROFESSIONS: Conservation policymaker. Environmental consultant. National parks and catchment manager. Natural resource manager. Scientific education officer. Scientific or project management in industry or government. Threatened species managerEMPLOYERS: Conservation agencies. Departments of agriculture. Departments of land and water conservation. Environment Australia. Environmental protection agencies. Fisheries and forestry agencies. National parks and wildlife services. Scientific research organisations. State forests. Sydney Bush Regeneration Co. The Australian Museum,Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Counter Terrorism,Humanities and Social Science,"37,200",,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-counter-terrorism,English,I,"Terrorism is becoming exceedingly complex. Changes to society and technology have increased our vulnerability to terrorist attacks, and have given unprecedented power to terrorists. To defend themselves, governments and businesses need analysts who have the knowledge, skills and creativity to understand the dynamic and complex systems that terrorists are leveraging. Specialists in counterterrorism are, therefore, in demand by the Australian Government, as well as by the private sector.
This practice-oriented degree will prepare you to analyse real-world counterterrorism challenges. You’ll learn about the theory and practice of counterterrorism studies; the emerging domestic, regional and international challenges related to terrorism and their implications for counterterrorism approaches and policies; and the evolution of Australia’s counterterrorism strategies and policies. It will also equip you with a practical skill set.",PROFESSIONS: Academic. Countering violent extremism expert. Detective. Intelligence analyst. Police officer. Researcher. Risk analyst. Security analystEMPLOYERS: Australian Border Force. Community engagement organisations. Defence and security-related business and industry. Department of Defence. Department of Foreign Affairs and Trade. International non-government organisations. International/regional organisations. Law enforcement and police. Military. Public relations firms. Think tanks and policy advising organisations,Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Creative Industries,Creative Arts & Design & Music,"33,600",,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-creative-industries,English,I,"The creative sector is rapidly emerging as an economic force to be reckoned with as millions of people across the world now work in this fast-growing and dynamic sector. The sector offers diverse and rewarding career opportunities encompassing arts management; music, film, television and radio; screen and film production and practice; the performing and visual arts; advertising and marketing; writing, publishing and print media; and software and interactive content development.
This professionally focused degree will provide you with the skills you’ll require to meet the challenges associated with a rapidly shifting professional context that’s increasingly focused on digital production, distribution and audience engagement strategies. You’ll develop an advanced understanding and appreciation of a range of approaches to contemporary production, distribution and audience engagement. You’ll advance your knowledge of creative media project design, aesthetics and management. And you’ll have access to professional-quality studios for screen production, drama, dance, music recording and radio production; industry-standard digital workstations; a specially equipped theatre for screenings; and digital production tools.","PROFESSIONS: Advertising or PR manager. Arts and cultural administrator. Audio engineer. Composer. Creative media entrepreneur. Creative media marketing and promotion specialist. Director. Editor. Government arts policy adviser or cultural attaché. Media policy and strategy developer. Media writer. Multiplatform and interactive media producer. Music producer. Online and social media content creator. Online content producer (screen, music, arts and beyond). Production manager. Screen and film producer. Screenwriter. Self-producing musicianEMPLOYERS: Advertising agencies. Arts administration. Arts promotional organisations. Broadcast and community media – radio, TV. Content production companies. Creative agencies. Government. Higher education. Media agencies. Multimedia or digital agencies. NGOs. Production studios – film, TV, sound. Self-employment. Web agencies",Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Creative Writing,Computer Science & Information Technology,"37,200",,AUD,Years,1,Year,Yes,No,,,IELTS,7,https://courses.mq.edu.au/2021/international/postgraduate/master-of-creative-writing,English,I,"Creative writing - expressing yourself with flair and accuracy - is a key skill for life and most professions. If you love writing and reading literature and want to challenge yourself to develop your craft and technique, this course is your pathway to effective creative writing and non-fiction.
You will undertake intensive practical workshops across a range of genres including young adult fiction, creative non-fiction, short story, novella, novel and poetry. You will create, workshop, and develop your writing with peers and our expert teachers.","PROFESSIONS: Graduates launch new careers, freelance or develop and promote their existing careersin the Arts, Media, Education and Training industries, including:. . advertising. book publishing   editorial, public relations, and copy editing. corporate, technical and copywriting. creative authorship   including picture books, young adult fiction, adult fiction, poetry. secondary, tertiary and continuing education creative writing, literature and English studies teaching. theatre and film writing and production. travel, social media, health, arts journalism and magazine writing, online and in print. TV script writingEMPLOYERS: Employers inArts, Media, Education and Training industries, including government, schools, online and print education and entertainment media, and writing skills to develop your small business.",Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Criminology,Law,"37,200",,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-criminology,English,I,"Fraud. Corruption. Terrorism. Domestic violence. Cybercrime. Vandalism. Car theft. Gun crime. Assault. Understanding who commits these types of crimes, their motivations for doing so, how society responds to such crime, and how the impact of crime can be alleviated are all the pursuit of criminologists.
This degree will develop your skills in advanced criminology theory, applied criminological research and criminal justice policy analysis. As a graduate, you’ll use your knowledge and draw from fields including sociology, psychology, psychiatry and social anthropology, to understand better, measure and evaluate crime.",PROFESSIONS: Criminologist. Cybersecurity analyst. Detective. Forensic-related roles. Intelligence analyst. Policy officer. Private investigatorEMPLOYERS: Australian Border Force. Corrective services. Criminal justice administration. Cybersecurity agencies. Federal intelligence services. Law. Security firms. State and federal policing agencies. Universities,Australia,No,Yes,No,Yes,No,
