Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
PG,Australian National University,Canberra,Graduate Certificate of Finance and Actuarial Statistics,Business & Commerce & Finance & Accounting,"25,200.00",,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4.5,https://programsandcourses.anu.edu.au/2021/program/CFAS,English,A,"The Graduate Certificate of Finance and Actuarial Statistics is designed for students who wish to: Develop a greater understanding of financial, actuarial and statistical principles and their application; Gain Part II exemption status for the Institute of Actuaries; Improve analytical skills for interpreting and analysing financial, actuarial and statistical information; Gain greater insight into the Australian and international financial markets; Increase management skills for dealing with organisations, teams and policy issues; and, Expand their applied knowledge in various specialised areas of finance, actuarial studies and applied statistics.Students who achieve a GPA of 4.5 for the Graduate Certificate of Finance and Actuarial Statistics with an appropriate specialization may transfer to one of the RSFAS Masters Programs (Master of Applied Finance, Master of Finance, Master of Actuarial Studies, Master of Actuarial Practice, Master of Statistics.","Recognise the important role of finance, actuarial and statistical principles and their application; Demonstrate the necessary analytical skills for interpreting and analyzing financial, actuarial and statistical information; Demonstrate well developed insight into Australian and international financial markets; Justify and communicate the necessary management skills for dealing with organizations, teams and policy issues, so as to be able to work independently and collaboratively to collect, process, interpret and communicate the outcomes of financial, actuarial and statistical problems; and, Demonstrate the skills necessary to critically engage with and evaluate financial, actuarial and statistical problems.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Law,Law,"24,192.00",,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/CLAW,English,A,The Graduate Certificate of Law offered by the ANU College of Law is the best way to start your postgraduate legal studies – whether you are a non-law graduate or a law graduate from an overseas university. The program is designed to be a stand-alone qualification or provide an entry qualification for the Master of Laws. Completion of the program is compulsory for all graduates without a Law or cognate discipline background seeking to progress to a Master of Laws at the ANU College of Law. The program is optional for all law graduates from overseas universities who might like to increase their understanding of Australian Law or Law and Legal Institutions. The program provides a flexible structure and includes a wide range of elective courses. All courses are taught by staff with international research reputations and draw upon ANU’s strategic location in the national capital. The Graduate Certificate also includes a compulsory 6 unit course on Law and Legal Institutions which provides an important foundation for students’ legal studies.,"undertake further Masters Level study enable study in specialist areas of law apply legal knowledge to complex legal problems structure and sustain legal argument in specialist areas of law conduct in-depth research in law incorporate social, policy, comparative or interdisciplinary approaches into legal analysis engage in original and critical reflection on a topic of law synthesise legal materials into a concise and cohesive argument that addresses a research question communicate ideas effectively both verbally and in writing",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Management,Business & Commerce & Finance & Accounting,"25,200.00",,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/CMGMT,English,A,"The Graduate Certificate of Management (GCM) will equip students with a solid foundation of knowledge, skills and application in the management disciplines within an evidence-based management (EBM) framework. The GCM is a standalone program and also serves as a pathway for those who do not meet the traditional entry requirements for an ANU Masters program.","Evaluate and reflect on evidence to inform decision making Explore opportunities and novel solutions to challenges Work effectively with others to resolve challenges Adapt to complex and uncertain situations Engage, inform and influence stakeholders Incorporate the influence of a changing global environment Demonstrate ethical behaviour and make principled decisions",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Military and Defence Studies,Computer Science & Information Technology,,,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/6829XGCMDS,English,A,"The Graduate Certificate in Military and Defence Studies draws from the courses integrated into the Australian Command and Staff Course (Joint) of the Australian Command and Staff College. It is designed to give students a thorough understanding of one of the following areas of practice: 		Strategy and Operations; 		Australian Defence Policy; 		Military Operations, Leadership and Command; or 		Australia and the Use of ForceEntry is restricted to students who are posted as course members to the Australian Command and Staff College.","Demonstrate a thorough understanding of their choice of cognate disciplines, including Strategy and operations, Australian defence policy, Military operations, leadership and command or Australia and the use of force. Apply their theoretical and technical knowledge to a range of contexts to undertake professional work in military, defence or policy contexts, or as a pathway to further learning.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Military Law,Computer Science & Information Technology,,,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/CMILL,English,A,"This program is taught under contract for the Department of Defence. It is only open to nominees of the Department of Defence, normally serving ADF legal officers. The ANU College of Law Military Law program covers the LTM2 and 3 levels of the ADF competency scheme for ADF legal officers.","Demonstrate a thorough understanding of their choice of cognate disciplines, including Strategy and operations, Australian defence policy, Military operations, leadership and command or Australia and the use of force. Apply their theoretical and technical knowledge to a range of contexts to undertake professional work in military, defence or policy contexts, or as a pathway to further learning.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of New Technologies Law,Computer Science & Information Technology,"24,192.00",,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/CNTL,English,A,"Technology is transforming our society and global relationships. Industry and government need a new breed of professionals who understand the legal, commercial and policy implications for the design and implementation of new products and new business models. This Graduate Certificate of New Technologies Law will equip lawyers and other professionals with skills and scholarship needed to face novel challenges and to develop innovative and practical approaches to solving problems thrown up by new technologies.The program provides a flexible structure and includes a wide range of elective courses. All courses are taught by staff with international research reputations and draw upon ANU’s strategic location in the national capital. For students who do not have a law degree, this Graduate Certificate of New Technologies Law includes a compulsory 6 unit course on Digital Economies and the Law that is available twice a year and which has introductory topics on Contract Law, Law of Torts, and Statutory Interpretation.","Evaluate complex legal problems, concepts and risks arising from the implementation of new technologies. Undertake legal research, legal writing and resolution of complex legal problems existing in operational domains created and supported by new technologies. Research, reflect and write on the practice or theory of new technologies law. Critically examine scholarship in relation to the use of new technologies in different use cases, including private and public law. Develop and apply legal knowledge to complex legal technology problems in an analytical and creative manner. Communicate to both legal and non-legal audiences, verbally and in writing, legal, policy and theoretical perspectives arising from the use of new technologies.",Australia,Yes,Yes,No,Yes,Yes,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Public Health,English,,,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/CPUBH,English,A,"The Graduate Certificate of Public Health draws on existing courses offered in the Master of Public Health and Master of Public Health (Advanced) offered by the College of Medicine, Biology and Environment. It is intended primarily as an exit award for students who are unable, for a variety of reasons, to complete a Master degree but have completed 24 units of credit toward their postgraduate program.","Review, analyse, consolidate and synthesise knowledge of the socioeconomic, behavioural, biological and societal determinants of health and disease. Effectively communicate knowledge and understanding in public health issues to both specialist and non-specialist audiences Think critically, evaluate and provide solutions to complex issues in public health",Australia,Yes,Yes,No,Yes,Yes,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Public Policy,Law,"24,192.00",,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/6192XGCPPP,English,A,The Graduate Certificate of Public Policy provides knowledge and professional skills for those who wish to broaden and deepen their general or technical skills in public policy. The Graduate Certificate provides students with a wide menu of choice of Crawford School master degree courses. Students who are thinking of later proceeding on to a Master degree should consider the course-selection requirements appropriate to the various Master degrees. Course advising is available to help with these choices.,"Demonstrate knowledge and understanding of foundational issues in the field of public policy, in Australia and globally Reflect critically on public policy issues and practical challenges in diverse contexts Demonstrate familiarity with research principles relevant to the field of public policy Identify appropriate analysis and research methods for public policy challenges Analyse political, technical or institutional policy problems from multiple perspectives Develop and communicate policy analysis or recommendations in changing policy environments Understand challenges relating to management, implementation and evaluation of public policies",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Regulation and Governance,Humanities and Social Science,"24,192.00",,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/CREGO,English,A,"This program is designed to help individual professionals and their organisations understand and apply contemporary Australian and international approaches to effective regulation and governance. Thematic issues covered include regulatory complexity, risk assessment, responsiveness, compliance, technology and regulation, and managing stakeholders. It is designed for people who manage regulatory portfolios and projects in government, business or NGO settings -- or who will do so in future. It supports professionals who work with regulatory stakeholders, including business and industry, Territory, State and Federal government agencies, the legislature, community actors and the media. Adopting an applied approach, the program uses case studies, hands-on assessments and examples of regulatory excellence from Australia, Europe, North America and Asia and the Pacific.","Demonstrate knowledge and understanding of foundational issues in the fields of regulation and governance, in Australia and globally Reflect critically on regulatory policy issues and practical challenges of regulatory governance in diverse contexts Demonstrate familiarity with research principles relevant to the fields of regulation and governance Identify appropriate analysis and research methods for regulatory policy challenges Analyse political, technical or institutional regulatory policy problems from interdisciplinary  perspectives Develop and communicate regulatory policy analysis or recommendations in changing political, social and policy environments Understand challenges relating to design, management, implementation and evaluation of regulatory policies",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Science,Science and Health Science,"24,696.00",,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/CSCIE,English,A,"The program draws on existing courses offered in all postgraduate Master award programs offered by the College of Medicine, Biology and Environment and the College of Physical and Mathematical Sciences. It is intended primarily as an exit award for students who are unable, for a variety of reasons, to complete a Master degree but have completed 24 units of credit toward their postgraduate program. The Graduate Certificate program will also provide an entry pathway to other postgraduate coursework programs such as Master degrees for those students who do not initially meet the admission requirements for Master by Coursework degrees.","Analyse, evaluate and transform information to complete a range of activities related to particular science disciplines; Analyse, generate and communicate solutions to complex problems in science; Communicate knowledge, skills and ideas to others; and Exercise personal, professional and social responsibility as a global citizen.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Studies,Science and Health Science,"24,192.00",,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/CSTUD,English,A,"The Graduate Certificate of Studies is a flexible option for graduate studies at ANU for students whose needs are not met by following a program of study in a single academic discipline. Subject to meeting course entry requirements, you will be able to select courses from across the graduate course offerings available, allowing you to structure your studies and direct your learning in a way that meets your academic, personal and professional interests and enables you to develop skills and expertise in a range of learning areas, for example, a combination of courses in art history, environmental science, and management.","understand a body of theoretical and applied topics; apply skills in analysis, critical evaluation, and/or professional functions to solve complex problems; demonstrate creativity and flexibility in the application of knowledge and skills to new situations; and communicate knowledge, ideas, and solutions to problems to both specialists and non-specialists.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Diploma of Applied Cybernetics,Engineering,"24,192.00",,AUD,Years,1,Year,Yes,No,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/DAPCY,English,A,"The Graduate Diploma of Applied Cybernetics is a 1 year full-time (or equivalent part-time) degree that provides students with: - Advanced skills in managing cyber-physical systems from critical thinking and questioning, to an understanding of how the technology relates to the regulatory environment.  - A solid understanding of the machine and human components of a cyber-physical system, including their historical context.  - The intellectual framework for the management of complex, integrated systems within social context.  - The opportunity to undertake research of professional relevance.","Select, adapt, apply, and communicate advanced methods and applied cybernetics techniques for analysing cyber-physical systems; Apply knowledge and analysis of cyber-physical systems to decision making about policy, business, community organisations and service delivery; Examine current issues in cyber-physical systems using leading-edge research and design practices; and Demonstrate solid cognitive, technical, and communication skills to work independently and collaboratively to collect, process, interpret and communicate the outcomes of challenges and opportunities associated with cyber-physical systems.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Diploma of Applied Data Analytics,Computer Science & Information Technology,"48,384.00",,AUD,Years,1,Year,Yes,No,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/DADAN,English,A,"The Graduate Diploma of Applied Data Analytics is a 1 year full-time (or equivalent part-time) degree that provides students with: 		Exposure to best practice in data analytics. 		Cutting edge courses in areas of relevance to data analytics practitioners. 		An opportunity to deepen knowledge in one of the three areas of computation, statistics, or social science. 		Professional development for practicing data analytics professionals. 		The opportunity to undertake research of professional relevance. The program will be taught in intensive blended mode with students expected to be enrolled part-time.","Apply computing, statistical, and social science principles to solve data analytics problems; Apply data analytics methods and techniques to decision making about policy, business and service delivery; Contribute as an effective member to the performance of a data analytics workplace; Demonstrate basic technical expertise in computing, statistics, and social science as relevant to data analytics. Be able to work to specification and according to a deadline, document tasks undertaken, and report outcomes to a third party. Be capable of independent learning with some ability to evaluate critically work undertake.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Diploma of Business,Business & Commerce & Finance & Accounting,,,AUD,Years,1,Year,Yes,No,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/DBUSI,English,A,"The Graduate Diploma in Business is designed for students who wish to:  Develop a deep understanding of business principles and their application  Improve analytical skills for interpreting and analysing business information  Gain greater insight into the Australian and international business markets  Increase management skills for dealing with organisations, teams and policy issues  Expand their applied knowledge in various specialised areas of business","Identify, interpret and analyse discipline based problems Critically apply theoretical, technical knowledge and research-based skills to evaluate and solve discipline based problems Justify and communicate the outcomes of problem analyses",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
