Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course_Delivery_Mode,FREE_TAFE
,William Angliss Institute,Melbourne,CERTIFICATE III IN CATERING OPERATIONS,Business & Commerce & Finance & Accounting,,5050,AUD,Course,1,Year,No,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/cookery/certificate-iii-in-catering-operations/,English,A,"COURSE OVERVIEW
Certificate III in Catering Operations (Release 1) is tailored to meet the growing needs of the Aged Care Longevity sector.
With a specialisation in this sector, individuals can expect a rewarding and reliable vocation, with family-friendly hours. From this training, students will be well placed to provide the best catering and nutritional care for a vulnerable, diverse community.
Developed in close consultation with industry and supported by the Federal and State governments, students will have access to the leading expertise for aged care longevity food services throughout this course.",,Australia,No,Yes,No,Yes,No,,Normal,No
VOC,William Angliss Institute,Melbourne,Certificate IV in Commercial CookerY,Culinary,27900,14658,AUD,Course,18,Months,Yes,No,,,,,,,https://www.angliss.edu.au/courses/foods/cookery/certificate-iv-in-commercial-cookery/,English,A,"COURSE DESCRIPTION
Build on your Certificate III in Commercial Cookery. Enhance your knowledge of management in the hospitality industry, learning the skills to become a qualified cook, commis chef, manager or owner operator.
Expand your cookery skills through training across a range of cuisines and techniques, preparing you for a career with global potential.
With this course, you'll gain an in-depth understanding of kitchen management, finance management and team management to prepare you for a leadership role at any food establishment or culinary institution.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

Pre-Training Review
The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place.
 
This allows us to understand why you would like to study your course and what your careers goals are. We can also ensure that you enrol in the course that is the best fit for you.

After you submit your application, we will send you a link to complete the Pre-Training Review!",Normal,No
VOC,William Angliss Institute,Melbourne,Certificate IV in Commercial Cookery (Apprenticeship),Culinary,27900,,AUD,Course,4,Years,No,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/cookery/Certificate-IV-in-Commercial-Cookery-Apprenticeship/,English,A,"COURSE DESCRIPTION
Combine campus-based cookery training with a hands-on apprenticeship in the kitchen. With this apprenticeship course, you'll broaden your understanding of hospitality management while developing practical skills to set you up for success.
Expand your cookery skills through training across a range of cuisines and techniques, preparing you for a career with global potential.
The course extends to all areas of kitchen management, finance management and team management which means you'll be ready to take a leadership role at any food establishment or culinary institution.
 ",,Australia,No,Yes,No,Yes,No,"Entry Requirements

The Apprentice Lifecycle
Find out about the steps involved in completing an apprenticeship.


PRE-TRAINING REVIEW


The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place. 

This allows us to understand why you would like to study your course and what your career goals are. We can also ensure that you enroll in the course that is the best fit for you.
After you submit your application, we will send you a link to complete the Pre-Training Review!

Employer required",Apprenticeship,No
VOC,William Angliss Institute,Melbourne,Dual Qualification - Certificate III in Commercial Cookery/Certificate IV in Patisserie,Culinary,18600,,AUD,Course,18,Months,Yes,No,,,,,,,https://www.angliss.edu.au/courses/foods/cookery/Dual-Qualification-Certificate-III-in-Commercial-Cookery-Certificate-IV-in-Patisserie/,English,A,"COURSE DESCRIPTION
This unique course gives you the flexibility to explore both cookery and patisserie, and expands your potential employment opportunities both domestically and globally.
This intensive course provides you with strong fundamental skills, practical experience and industry participation across commercial cookery and patisserie.
By adding patisserie skills to your cookery repertoire, you could be the next generation's desserts sensation and an asset to any culinary team.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

Pre-Training Review
The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place.
 
This allows us to understand why you would like to study your course and what your careers goals are. We can also ensure that you enrol in the course that is the best fit for you.

After you submit your application, we will send you a link to complete the Pre-Training Review!",Normal,No
PG,William Angliss Institute,Melbourne,Master of Philosophy (Major Thesis) and Master of Philosophy (Praxis and Exegesis),Humanities and Social Science,,20000,AUD,Course,2,Years,Yes,Yes,,,,,,,https://www.angliss.edu.au/courses/other/Master-of-Philosophy/,English,A,"COURSE DESCRIPTION
William Angliss Institute is the only TAFE in Australia to offer a research-based Master of Philosophy and the only non-university to offer a Master of Philosophy by Praxis and Exegesis. As a specialist institution focused on, and with close and proactive links to, the increasingly economically important foods, tourism, hospitality and events industries, we are ideally placed to offer these internationally recognised higher degrees by research programs with their compelling mix of academic rigour and practical real world experience
The Master of Philosophy (Praxis and Exegesis), with its emphasis on a research-based creative project, lends itself particularly well to higher studies in foods, tourism, hospitality and events. Projects will encompass real world applications, for example, developing new approaches to guest services to improve productivity, or looking at the economic and community benefits of food festivals.",,Australia,No,Yes,No,Yes,No,"Entry requirements


ACADEMIC:

a three-year Bachelor degree with average grades of at least High Distinction for the final year (equivalent to above 80 percent on the Angliss grading scale);
a four-year Bachelor degree or an honours degree with average grades of at least High Distinction for the final year (equivalent to above 80 percent on Angliss grading scale);
a Master by Coursework degree with average grades of at least Distinction for the final year (equivalent to above 70 percent on the Angliss grading scale); or

OTHER (NON-ACADEMIC):

professional experience in your chosen field through which you have developed applied knowledge and skills and which satisfies us that you have the potential to successfully complete the Master of Philosophy; and
any other condition relating to prerequisite study that we may impose, which usually requires you to prepare a portfolio covering your:

Professional awards and memberships;
Professional currency – evidence of engagement with the profession, involvement with professional associations;
Professional qualifications and accreditations;
Teaching and scholarship - details of your teaching experience and scholarly practice relative to your discipline and/or area of professional practice; and
Research and/or reflective practice contributions, including but not limited to: website contributions, conference presentations, workshop presentations, contributions to trade magazines and the media.



Potential students should undertake to find a suitable supervisor, prior to application. Please see our Academic Staff Profiles page to view detailed profiles for our research active staff.",Normal,No
VOC,William Angliss Institute,Melbourne,Certificate II in Baking,Culinary,,4510,AUD,Course,18,Weeks,Yes,No,,,,,,,https://www.angliss.edu.au/courses/foods/baking/certificate-ii-in-baking/,English,A,"COURSE DESCRIPTION
Get your start as a commercial Baker with this valuable certificate course.
This eighteen-week course delivers foundational skills and knowledge of basic bread and cake making. Learning on campus from experienced bakers, you will quickly carve your path towards a career in the baking industry.
This course could see you continue your learning as an apprentice or lead you to continue your study specialising in bread baking or pastry. Angliss is a leader in bread, pastry production and cake making, offering qualifications that are recognised worldwide.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

Pre-Training Review
The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place.
 
This allows us to understand why you would like to study your course and what your careers goals are. We can also ensure that you enrol in the course that is the best fit for you.

After you submit your application, we will send you a link to complete the Pre-Training Review!",Normal,No
VOC,William Angliss Institute,Melbourne,Certificate III in Baking,Culinary,18600,9020,AUD,Course,1,Year,Yes,No,,,,,,,https://www.angliss.edu.au/courses/foods/baking/certificate-iii-in-baking/,English,A,"COURSE DESCRIPTION
This certificate course will develop core skills across both bread making and cake and pastry competencies. You'll be prepared for a broad range of baking career options, from specialty catering to retail baking and cake decorating.
Learn the fundamental skills of commercial cake and pastry production with valuable on-site training as an apprentice. Angliss is a leader in bread, pastry production and cake making, offering you a qualification that is recognised worldwide.
This flexible program allows you to switch to an apprenticeship model if you begin employment in the industry during your full-time course.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

Pre-Training Review
The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place.
 
This allows us to understand why you would like to study your course and what your careers goals are. We can also ensure that you enrol in the course that is the best fit for you.

After you submit your application, we will send you a link to complete the Pre-Training Review!",Normal,No
VOC,William Angliss Institute,Melbourne,Certificate III in Baking (Apprenticeship),Culinary,18600,,AUD,Course,3,Years,No,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/baking/certificate-iii-in-baking-apprenticeship/,English,A,"COURSE DESCRIPTION
This apprenticeship will develop core skills across both bread making and cake and pastry competencies. Our graduates of this baking course are prepared for a broad range of baking career options, from specialty production to retail baking.
Learn the fundamental skills of commercial baking and pastry production with valuable on-site training as an apprentice. Angliss is a leader in bread, pastry production and cake making, offering you a qualification that is recognised highly in industry.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

Pre-Training Review
The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place.
 
This allows us to understand why you would like to study your course and what your careers goals are. We can also ensure that you enrol in the course that is the best fit for you.

After you submit your application, we will send you a link to complete the Pre-Training Review!",Apprenticeship,No
VOC,William Angliss Institute,Melbourne,Certificate III in Bread Baking (Apprenticeship),Culinary,,,AUD,Course,3,Years,No,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/baking/certificate-iii-in-bread-baking-apprenticeship/,English,A,"COURSE DESCRIPTION
This apprenticeship will develop core skills across a range of fundamental Bread competencies, taught on campus or the workplace
With this highly regarded certificate course from Angliss, you can gain a qualification that's widely recognised across the industry. Learn the fundamental skills of commercial and artisan bread production with valuable on-site training as an apprentice.
Develop techniques and bread knowledge that will set you up for a successful baking future. You'll learn to craft true artisan bread styles using sourdough, wood fire and tandoori methods.
This flexible program allows you to switch to an apprenticeship model if you begin employment in the industry during your full-time course.
 ",,Australia,No,Yes,No,Yes,No,"Entry Requirements

The Apprentice Lifecycle
Find out about the steps involved in completing an apprenticeship.


PRE-TRAINING REVIEW


The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place. 

This allows us to understand why you would like to study your course and what your career goals are. We can also ensure that you enroll in the course that is the best fit for you.
After you submit your application, we will send you a link to complete the Pre-Training Review!

Employer required",Apprenticeship,No
VOC,William Angliss Institute,Melbourne,Certificate III in cake and pastry (apprenticeship),Culinary,,,AUD,Course,3,Years,No,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/baking/certificate-iii-in-cake-and-pastry-apprenticeship/,English,A,"COURSE DESCRIPTION
This apprenticeship will develop core skills across a range of fundamental cake and pastry competencies, taught on campus or the workplace. With this highly regarded certificate course from Angliss, you can gain a qualification that is highly recognised across the industry. Learn the fundamental skills of cake and pasty production with valuable on-site training as an apprentice.
Develop techniques knowledge that will set you up for a successful baking future to gain employment in the baking industry.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

The Apprentice Lifecycle
Find out about the steps involved in completing an apprenticeship.


PRE-TRAINING REVIEW


The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place. 

This allows us to understand why you would like to study your course and what your career goals are. We can also ensure that you enroll in the course that is the best fit for you.
After you submit your application, we will send you a link to complete the Pre-Training Review!

Employer required",Apprenticeship,No
VOC,William Angliss Institute,Melbourne,Certificate IV in Baking,Culinary,,,AUD,Course,1,Year,Yes,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/baking/certificate-iv-in-baking-advanced-baker/,English,A,"COURSE DESCRIPTION
A comprehensive and in-depth program to advance your skills as a baker. This certificate course will provide you with both generalist and artisan baking skills while preparing you to succeed in a retail baking environment. Learn innovative advanced artisan bakery skills alongside management skills to develop yourself as a future leader in the baking industry.
Angliss is renowned for its high quality baking courses and training, offering you a qualification that is recognised worldwide and in high demand across the baking industry.
While you build on your baking expertise, you'll develop valuable insights into bakery management, quality control and occupational health and safety management.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

Prerequisites
To commence this qualification an individual must have:

completed a Certificate III qualification in a field of study related to commercial baking or,
at least 3 years full-time relevant employment in a commercial baking environment

If you would like more information, please speak to us.


Pre-Training Review


To assist you with determining whether a course suits your personal needs and career goals, we will conduct a Pre-Training Review. This will include completing a Pre-Training Review Form, assessing your literacy, numeracy and digital literacy skills as well as an informal interview. We will then discuss with you the outcomes of your review, provide guidance as to whether the course is the best fit for you, and identify whether you might require learning support.
It is also an opportunity for you to ask us questions about the course.",Normal,No
DIP,William Angliss Institute,Melbourne,Diploma of Food Science And Technology,Computer Science & Information Technology,16400,9020,AUD,Course,1,Year,Yes,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/food-science-and-technology/diploma-of-food-science-and-technology/,English,A,"COURSE DESCRIPTION
Combining chemistry, food safety, confectionery, sensory analysis and microbiology, food science opens up a variety of rewarding careers in the food industry. Learn how to make food healthier, tastier and safer for consumers with the help of our expert teachers, guest lecturers and field trips.
Our teachers have extensive current food manufacturing industry experience and provide expert insights into all aspects of the food industry, its challenges and opportunities.
Take advantage of a varied and detailed learning experience. Your food science studies will include field trips and experiential learning, special guest lectures, networking opportunities and a major product development project where you can showcase your concept to an expert judging panel.
 ",,Australia,No,Yes,No,Yes,No,"Entry Requirements

Pre-Training Review
The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place.
 
This allows us to understand why you would like to study your course and what your careers goals are. We can also ensure that you enrol in the course that is the best fit for you.

After you submit your application, we will send you a link to complete the Pre-Training Review!",Normal,No
VOC,William Angliss Institute,Melbourne,Certificate II in Meat Processing (Food Services),Business & Commerce & Finance & Accounting,,,AUD,Course,6,Months,No,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/meat-processing/Certificate-II-in-Meat-Processing-Food-Services/,English,A,"COURSE DESCRIPTION
The Certificate II Meat Processing qualification provides you with the essential tools and knowledge to work in a butcher or meat processing retail environment. You'll be introduced to the craft of meat processing in our excellent on campus processing class rooms or work based training environments. Gain a foundation in hygiene and safety and learn what it takes to prepare quality meat products.
 
The program will allow you to develop skills and expertise to further your growth into a career pathway and employment progression into a Certificate III in Meat Processing (Retail Butcher).",,Australia,No,Yes,No,Yes,No,"Entry Requirements

Pre-Training Review
The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place.
 
This allows us to understand why you would like to study your course and what your careers goals are. We can also ensure that you enrol in the course that is the best fit for you.

After you submit your application, we will send you a link to complete the Pre-Training Review!",Normal,No
VOC,William Angliss Institute,Melbourne,Certificate III in Meat Processing (Retail Butcher) - Apprenticeship,Computer Science & Information Technology,,,AUD,Course,4,Years,No,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/meat-processing/Certificate-III-in-Meat-Processing-Retail-Butcher-Apprenticeship/,English,A,"COURSE DESCRIPTION
Learn the skills of meat processing and working in a retail environment as a butcher. In an Angliss meat processing course you'll develop specialty skills by working in industry and on campus processing classrooms. You'll refine your technical skills in line with the Australian Meat Industry Council Food Safety Program.
Your training in meat processing will extend to hygiene and safety, ordering, preparing meat cuts, mincing, sausage making and quality assurance.
This apprenticeship program includes predominantly on-the-job training with specialised subjects for on campus training designed to provide you with highly developed skills to work in the meat retail industry.
 ",,Australia,No,Yes,No,Yes,No,"Entry Requirements

The Apprentice Lifecycle
Find out about the steps involved in completing an apprenticeship.


PRE-TRAINING REVIEW


The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place. 

This allows us to understand why you would like to study your course and what your career goals are. We can also ensure that you enroll in the course that is the best fit for you.
After you submit your application, we will send you a link to complete the Pre-Training Review!

Employer required",Apprenticeship,No
VOC,William Angliss Institute,Melbourne,Certificate III in Meat Processing (Small Goods General) - Traineeship,Computer Science & Information Technology,,,AUD,Course,2,Years,No,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/meat-processing/certificate-iii-in-meat-processing-small-goods-general-traineeship/,English,A,"COURSE DESCRIPTION
The Certificate III in Meat Processing (Small Goods General) qualification will provide you with the essential tools and knowledge to work with small goods producers' in manufacturing environments.
You'll develop specialty skills by continuing to work in industry with our expert trainers visiting the workplace to deliver training and the course duration is two years part-time.
All Angliss training and technical skill delivery is nationally accredited and designed to provide you with highly developed skills to work in the small goods manufacturing industry.
Your course includes Food safety training including hygiene and safety, workplace health and safety and quality assurance, which follows the Food Safety Australia and New Zealand guidelines.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

The Apprentice Lifecycle
Find out about the steps involved in completing an apprenticeship.


PRE-TRAINING REVIEW


The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place. 

This allows us to understand why you would like to study your course and what your career goals are. We can also ensure that you enroll in the course that is the best fit for you.
After you submit your application, we will send you a link to complete the Pre-Training Review!

Employer required",Traineeship,No
VOC,William Angliss Institute,Melbourne,Certificate III in Meat Processing (Small Goods Manufacture) - Apprenticeship,Business & Commerce & Finance & Accounting,,,AUD,Course,4,Years,No,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/meat-processing/certificate-iii-in-meat-processing-small-goods-manufacture---apprenticeship/,English,A,"COURSE DESCRIPTION
The Certificate III Meat Processing (Smallgoods Manufacture) Apprenticeship is a specialist qualification in smallgoods production such as hams and bacons, especially suited for working at butcher and retail outlets.
Your apprenticeship is four years part-time and will deliver specialist skills and knowledge to work with smallgoods. The training is adapted for each workplace and apprentices are trained onsite.
All Angliss training and technical skill delivery is nationally accredited and designed to provide you with highly developed skills to work in the small goods retail industry.
Your course includes Food safety training including hygiene and safety, workplace health and safety and quality assurance, which follows the Food Safety Australia and New Zealand guidelines.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

The Apprentice Lifecycle
Find out about the steps involved in completing an apprenticeship.


PRE-TRAINING REVIEW


The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place. 

This allows us to understand why you would like to study your course and what your career goals are. We can also ensure that you enroll in the course that is the best fit for you.
After you submit your application, we will send you a link to complete the Pre-Training Review!

Employer required",Apprenticeship,No
