,"
    2020 Main Round ATAR/OP
    :
",Duration:,Study_Mode,Location:,2020 Main Round ATAR/OP,CRICOS,2020 Main Round ATAR/OP    ,Website,Duration,Brisbane_International_Start_Date,Available to:,Description,Course,CRICOS:,Location,"
",Available to,Melbourne_International_Start_Date,North_Sydney_International_Start_Date
.,Blacktown  (58.50) North Sydney  (58.50),.,Campus availability,"


Blacktown  


North Sydney  



",Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),101323,,https://courses.acu.edu.au/undergraduate/bachelor_of_information_technology,.," (pos1#2358763#2358773:  

22-Feb-2021

     (pos1#2358763
   #2358759#2358773:  
, 26-Jul-2021   #2358759
   #2358759#2358773:  
, 21-Feb-2022   #2358759
   #2358759#2358773:  
, 18-Jul-2022   #2358759",Domestic and International students.,"Do you dream of being at the cutting edge of an ever-evolving industry? Our Bachelor of Information Technology is accredited by the Australian Computer Society (ACS) and has been designed for students with the ambition and drive to shape the way we work, socialise, communicate and entertain. Study with us and get a head start building the future. We know that practical experience is important for you, so it's important for us. Our work integrated learning programs prepare you for the future world of work and build your employability skills, foster an entrepreneurial mindset and hone your communication and project management skills. In the classroom, you'll explore critical areas in an interactive environment with IT experts. And you'll graduate prepared for a myriad of careers – such as applications developer, data scientist, software architect, game designer, programmer, software engineer, web specialist and more. When you choose our Bachelor of Information Technology, you'll be able to study business electives. And, as a result, you'll graduate with a better understanding of how you can help your organisation develop the solutions to meet their technological challenges. Tap into our network of local and global industry partners when you study information technology with us.",Bachelor of Information Technology,071241F,Brisbane  Melbourne  Strathfield,,Domestic and International students.," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",null
.,Melbourne  (58.50),.,Campus availability,"


Melbourne  



",Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),071241F,Blacktown  (58.50) North Sydney  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_international_development_studies,.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Domestic and International students.,"This degree combines units that offer local and historical knowledge of specific geographic areas of the developing world, with units that explore transnational dimensions of development. This  combination of subject matter enables students to gain knowledge of the planning, implementation and consequences of political and economic change, particularly the uneven effects of development policies on communities. Students will also gain knowledge of the macro and micro sociological forces, including social movements that have impacted historically on political, economic, cultural and ecological conditions,  resulting in extreme poverty, poor health, fragile governance, inequality and environmental vulnerability. The degree grounds students in qualitative and quantitative research methods, providing them with the skills and knowledge to be able to determine appropriate strength-based capacity building approaches, and to identify economic inclusion strategies that promote economic opportunities for marginalised communities. The Bachelor of International Development Studies degree is located within the discipline area of ‘development studies’, which is an interdisciplinary branch of social science. The discipline area of development studies draws from a range of disciplines, particularly: anthropology, sociology, political science, human geography, environmental  science, history and economics. The main objective of the degree is to provide students with the knowledge, critical perspectives understanding and skills needed for competent, compassionate, ethical and professional engagement with communities in the developing world.  ACU BIDS graduates have a strong commitment to the common good and respect for the dignity of the human person. During the course students will gain hands-on experience in an international humanitarian or development program through the compulsory Immersion Experience unit. In addition to development theory and practice, students will study:",Bachelor of International Development Studies,074604D,Blacktown  North Sydney,,Domestic and International students.,null,null
.,Melbourne  (70.00) North Sydney  (70.00),.,Campus availability,"


Blacktown  


Brisbane  


Melbourne  


North Sydney  



",Blacktown  (58.50) North Sydney  (58.50),074604D,Melbourne  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_laws,.," (pos1#2358763#2358773:  

22-Feb-2021

     (pos1#2358763
   #2358759#2358773:  
, 26-Jul-2021   #2358759
   #2358759#2358773:  
, 21-Feb-2022   #2358759
   #2358759#2358773:  
, 18-Jul-2022   #2358759",Domestic and International students.,"Take a global, practical and ethical approach to your studies with our Bachelor of Laws. You’ll be signing up to make an impact in your legal career by placing an emphasis on justice, equity and the dignity of all human beings. Graduate with a degree that has been designed to incorporate international law and the globalised nature of the legal profession. Not only will you study compulsory international law units within your law degree, you’ll also can study units overseas, either at our Rome Campus or at one of our partner institutions located all around the globe. All of our law students undertake pro bono placements in law firms or with leading barristers, community legal centres, NGOs, government departments, or social justice agencies. Combine our Bachelor of Laws with another degree and you’ll double your value to employers and open up your career options. With us, you’ll have the opportunity to study law alongside the following courses: Bachelor of Arts, Bachelor of Biomedical Science, Bachelor of Business Administration, Bachelor of Commerce, Bachelor of Global Studies, Bachelor of Philosophy, Bachelor of Psychological Science and Bachelor of Theology.",Bachelor of Laws,079438F,Melbourne,,Domestic and International students.," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816"," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844"
.,Melbourne  (78.00) North Sydney  (78.00),.,Campus availability,"


Brisbane  


Melbourne  


North Sydney  



",Melbourne  (58.50),079438F,Melbourne  (70.00) North Sydney  (70.00),https://courses.acu.edu.au/undergraduate/bachelor_of_laws_graduate_entry,.," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Domestic and International students.,"The Bachelor of Laws (Graduate Entry) is a three-year degree designed for experienced students who have completed a previous Bachelor level degree. You can pursue a range of legal careers including: Typically, you develop specialisations in different fields of law throughout your career – from criminal law to family law; from environmental law to corporation law, from international trade to entertainment law. As part of this degree you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good.",Bachelor of Laws (Graduate Entry),079434K,Blacktown  Brisbane  Melbourne  North Sydney,,Domestic and International students.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844"," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858"
.,Brisbane  (13/72) Melbourne  (75.00),.,Campus availability,"


Brisbane  


Melbourne  



",Melbourne  (70.00) North Sydney  (70.00),079434K,Melbourne  (78.00) North Sydney  (78.00),https://courses.acu.edu.au/undergraduate/bachelor_of_midwifery,.,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Domestic students only.,"The Bachelor of Midwifery is for those who want to become registered midwives and work in maternity settings such as hospitals, birth centres and other community agencies. This midwifery course will teach you how to: Bachelor of Midwifery students will do over 1000 hours of midwifery clinical practice throughout the course in hospital and community settings. The students will also engage with a minimum of ten women to follow their pregnancy, labour, birth and postnatal care journey called their Continuity of Care Experiences (CCE). This experience involves the student recruiting the woman in early pregnancy and attending appointments throughout. If possible, the student attends the labour and birth and follows the woman after discharge home up to six weeks following birth. Possible career paths include: A graduate entry program is available to registered nurses and paramedics.",Bachelor of Midwifery,,Brisbane  Melbourne  North Sydney,,Domestic and International students.,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844","(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858"
.,Brisbane  (93.00),. <strong>(Graduate Entry only)</strong> .,Campus availability,"


Brisbane  



",Melbourne  (78.00) North Sydney  (78.00),079434K,Brisbane  (13/72) Melbourne  (75.00),https://courses.acu.edu.au/undergraduate/bachelor_of_midwifery_graduate_entry,.,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Domestic students only.,"This course offers bachelor–qualified nurses and paramedics the opportunity to qualify with a Bachelor of Midwifery. Applicants to the course must be registered nurses or currently practicing paramedics. Graduates may work in maternity settings such as hospitals, birth centres, special care nurseries and other community agencies. This midwifery course will teach you how to: Bachelor of Midwifery students will undertake over 1000 hours of midwifery clinical practice throughout the course in hospital and community settings. The students will also engage with a minimum of ten women to follow their pregnancy, labour, birth and postnatal care journey called their Continuity of Care Experiences (CCE). This experience involves the student recruiting the woman in early pregnancy and attending appointments throughout. If possible, the student attends the labour and birth and follows the woman after discharge home up to six weeks following birth. Possible career paths include:",Bachelor of Midwifery (Graduate Entry),,Brisbane  Melbourne,,Domestic students only.,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844","(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858"
.,,.,Campus availability,"


Brisbane  



",Brisbane  (13/72) Melbourne  (75.00),079434K,Brisbane  (93.00),https://courses.acu.edu.au/undergraduate/bachelor_of_midwifery_indigenous_program,. <strong>(Graduate Entry only)</strong> .,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Domestic students only.,"This midwifery course is for Aboriginal and Torres Strait Islander women who want to become registered midwives. As with the Bachelor of Midwifery, this course prepares Aboriginal and Torres Strait Islander students to work as entry-level midwives in any maternity setting – focusing on Aboriginal and Torres Strait Islander women and their families. Students will enrol in this midwifery course in an ‘away-from-base’ capacity. The ‘away-from-base’ mode enables students to live and work in their local community while studying and attending four residentials of one week each in Brisbane throughout the year. The students will also engage with a minimum of ten women to follow their pregnancy, labour, birth and postnatal care journey called their Continuity of Care Experiences (CCE). This experience involves the student recruiting the woman in early pregnancy and attending appointments throughout. If possible, the student attends the labour and birth and follows the woman after discharge home up to six weeks following birth. The Bachelor of Midwifery (Indigenous) degree will teach you how to:",Bachelor of Midwifery (Indigenous),,Brisbane,,Domestic students only.,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844","(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858"
.,Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (70.00) North Sydney  (63.00),.,Campus availability,"


Ballarat  


Blacktown  


Brisbane  


Canberra  


Melbourne  


North Sydney  



",Brisbane  (93.00),079434K,,https://courses.acu.edu.au/undergraduate/bachelor_of_nursing,.," (pos1#435806#435899:  

21-Feb-2022

     (pos1#435806",Domestic and International students.,"ACU is the largest provider of nurses in Australia. Our close links with hospitals and health care partners guarantee clinical experience in diverse settings. The Bachelor of Nursing develops caring professional nurses who are proactive and adaptable, competent and ethical clinicians, and creative and critical thinkers. Across the course theory will be consistently embedded in clinical practice through the inclusion of one Integrating Practice unit every semester. Clinical placement areas include aged care, community nursing, high dependency nursing, medical/surgical nursing, mental health, paediatrics, palliative care, and perioperative nursing. You may also take up the opportunity to engage with communities overseas and gain unique educational and cultural experiences working in care facilities in developing countries. Pending meeting local registration requirements, Bachelor of Nursing graduates can pursue a range of careers as a Registered Nurse within the health care industry including:",Bachelor of Nursing,001293G,Brisbane,,Domestic students only.," (pos1#435820#435900:  

21-Feb-2022

     (pos1#435820"," (pos1#435834#435901:  

21-Feb-2022

     (pos1#435834"
.,Brisbane  (82.00) Canberra  (75.00) North Sydney  (75.00),.,Campus availability,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


North Sydney  



",Brisbane  (93.00),001293G,Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (70.00) North Sydney  (63.00),https://courses.acu.edu.au/undergraduate/bachelor_of_nursing_enrolled_nurses,.," (pos1#435806#435899:  

20-Feb-2023

     (pos1#435806",Domestic and International students.,"More nurses graduate from ACU than anywhere else in Australia – and for good reason. Our nursing courses are known for developing professionals who are caring, adaptable, safe and ethical. The Bachelor of Nursing (Enrolled Nurses) is structured to allow Diploma-qualified enrolled nurses to qualify with a Bachelor degree. The program uses learner-centred approaches including inquiry and situation-based learning to enhance students’ experiences as well as their readiness for the workplace. Throughout the course you will connect theory to practice and may have the opportunity to undertake a clinical nursing specialty in your final semester. Specialties linked with industry in areas of workforce include: You may also take up the opportunity to engage with communities overseas and gain unique educational and cultural experiences working in care facilities in developing countries. Bachelor of Nursing graduates can pursue a range of careers within the health care industry including:",Bachelor of Nursing (Enrolled Nurses),086187F,Ballarat  Blacktown  Brisbane  Canberra  Melbourne  North Sydney,,Domestic and International students.," (pos1#435820#435900:  

21-Feb-2022

     (pos1#435820
   #435816#435900:  
, 20-Feb-2023
     #435816"," (pos1#435834#435901:  

20-Feb-2023

     (pos1#435834"
.,Melbourne  (58.50) Blacktown  (58.50) North Sydney  (58.50),.,Campus availability,"


Blacktown  


Melbourne  


North Sydney  



",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (70.00) North Sydney  (63.00),086187F,Brisbane  (82.00) Canberra  (75.00) North Sydney  (75.00),https://courses.acu.edu.au/undergraduate/bachelor_of_nutrition_science,.," (pos1#2358763#2358773:  

22-Feb-2021

     (pos1#2358763
   #2358759#2358773:  
, 21-Feb-2022   #2358759",Domestic and International students.,"Nutritionists promote healthy eating and lifestyles to individuals, communities and populations. Nutritionists create opportunities for people to learn about food and nutrition, design food products to support a healthy diet, influence food systems to foster sustainability, and advocate for a safe and equitable food supply across the globe. Studies in nutrition therefore include the science behind food and nutrition – biology and human physiology and chemistry and biochemistry, food and culinary nutrition science and the role of food and nutrition in health promotion and disease prevention. Nutrition links very closely with the national and global health priorities related to overnutrition and risk of obesity, diabetes and cardiovascular disease, much of which is preventable through a healthy lifestyle. ACU's program focuses on nutrition for general health, with understanding of the role of food and nutrition in chronic disease management, Aboriginal and Torres Strait Islander nutrition related health and community and public health priorities. ACU is the only university in Australia to offer students the opportunity to focus their study on culinary nutrition, an emerging area for work in the food and nutrition industry. The degree will appeal to anyone interested in a career as a nutritionists in public health and policy, in culinary nutrition science, in food and nutrition education and communication, in food science and technology, and in the research and food product development sectors. Work placement units provide students with eposure to work settings where they may gain employment following graduation and international short term study offers students the chance to enrich their university learning experience. The program also provides the basis for postgraduate studies in dietetics. Dietitians treat disease through diet and therefore require additional studies and clinical practice in health settings.",Bachelor of Nutrition Science,094690B,Ballarat  Brisbane  Canberra  Melbourne  North Sydney,,Domestic and International students.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844"," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 21-Feb-2022
     #435858"
.,Brisbane  (13/72) Melbourne  (65.00) North Sydney  (79.00),.,Campus availability,"


Brisbane  


Melbourne  


North Sydney  



",Brisbane  (82.00) Canberra  (75.00) North Sydney  (75.00),094690B,Melbourne  (58.50) Blacktown  (58.50) North Sydney  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_occupational_therapy,.," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816",Domestic and International students.,"Occupational therapists play an important role in the lives of individuals and communities enabling participation in occupations of self-care, productivity and leisure. To do this, occupational therapists need to know how humans function, and need the skills to practice competently and safely. You will learn how to analyse and assess occupational performance; apply and evaluate interventions to enable occupational performance; and collaborate and communicate effectively with clients and their families and colleagues. You will undertake 1,000 hours of professional practice education, starting in the first year, working with people across the life-span to help them overcome physical, cognitive or societal barriers to participation. This meets entry-level competency standards for the World Federation of Occupational Therapists (WFOT). High achieving Bachelor of Occupational Therapy students can undertake honours in the third and fourth years, provided they meet admission requirements.",Bachelor of Occupational Therapy,078172B,Blacktown  Melbourne  North Sydney,,Domestic and International students.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844"," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 21-Feb-2022
     #435858"
.,Brisbane  (15/68) Melbourne  (85.00) North Sydney  (97.00),.,Campus availability,"


Brisbane  


Melbourne  


North Sydney  



",Melbourne  (58.50) Blacktown  (58.50) North Sydney  (58.50),078172B,Brisbane  (13/72) Melbourne  (65.00) North Sydney  (79.00),https://courses.acu.edu.au/undergraduate/bachelor_of_paramedicine,.,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 21-Feb-2022     #435816",Domestic students only.,"It’s an exciting time for paramedicine. As one of the fastest evolving health professions, ACU aims to be at the forefront of change and creating paramedics for the future. By developing professional paramedics who are emotionally intelligent and motivated to improve communities we provide the foundations for you to deliver compassionate primary, urgent and or emergency health care in challenging and dynamic environments. Through authentic learning and diverse clinical experiences, you will develop key attributes for paramedicine, including: Graduates will be eligible to become a registered paramedic under the Australian Health Practitioner Regulation Agency (AHPRA), and with further study and experience, they can progress towards being a: The knowledge and skills developed are applicable for the national and international workforce. For those meeting a high-standard within the Bachelor of Paramedicine, you will be eligible to apply for Honours program upon completion.",Bachelor of Paramedicine,,Brisbane  Melbourne  North Sydney,,Domestic and International students.,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 21-Feb-2022     #435844","(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 21-Feb-2022     #435858"
.,Strathfield  (58.50),.,Campus availability,"


Strathfield  



",Brisbane  (13/72) Melbourne  (65.00) North Sydney  (79.00),078172B,Brisbane  (15/68) Melbourne  (85.00) North Sydney  (97.00),https://courses.acu.edu.au/undergraduate/bachelor_of_physical_activity_and_health_science,.," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 26-Jul-2021
     #435872
   #435872
, 21-Feb-2022
     #435872
   #435872
, 18-Jul-2022
     #435872",Domestic and International students.,"The Bachelor of Physical Activity and Health Science focuses on the roles and benefits of physical activity, exercise and healthy lifestyles. The degree provides a strong academic base in the foundations of health science, into exercise promotion, prescription and delivery, and for physical activity across the lifespan. It focuses on the practical skills required to become leaders in Outdoor Education, HPE Teaching, Coaching and Health Promotion professions. The skills are developed while studying the promotion, maintenance and enhancement of health, physical activity and sport related behaviours. They are further explored in the contexts of community health, personal well-being, leadership in outdoor education and sports performance. Students can choose from a range of electives in the specialised areas of physical education, leadership in outdoor education, sports coaching, and/or health and health promotion. Opportunities for industry-relevant practicum experience are embedded in the degree. The course aims to produce graduates with a strong academic base in health science disciplines related to physical activity and exercise, with the capacity to apply knowledge and skills in an ethical, fair and respectful manner. From year one, students are introduced to physical activity and exercise engagement, health promotion, and are given a foundation in health science as it relates to human function and performance. This includes fundamental concepts in anatomy, physiology, and human growth and development. Students also commence elective studies in areas of academic or vocational interest.",Bachelor of Physical Activity and Health Science,088340G,Brisbane  Melbourne  North Sydney,,Domestic students only.,null,null
.,Ballarat  (77.00) Brisbane  (8/84) North Sydney  (97.50),.,Campus availability,"


Ballarat  


Brisbane  


North Sydney  



",Brisbane  (15/68) Melbourne  (85.00) North Sydney  (97.00),088340G,Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_physiotherapy,.," (pos1#435806#435899:  

22-Feb-2021

     (pos1#435806
   #435802#435899:  
, 21-Feb-2022   #435802",Domestic and International students.,"The Bachelor of Physiotherapy is for those who want to prevent injury and disability in others as well as rehabilitate those already injured.You will learn how to identify, assess and treat conditions: As a graduate, you will have developed skills to work with everyone from children to the elderly, as well as deal with gender-specific issues. Our physiotherapy graduates have pursued careers in: Graduates can also work as consultants in educational, government and industrial institutions, and/or conduct research that contributes to the knowledge base of the profession. This physiotherapy course also offers students clinical placements during which they will be supervised by a clinical educator. During each placement students will develop and integrate knowledge, skills and professional behaviours in accordance with the requirements of the Australian Physiotherapy Council. High achieving Bachelor of Physiotherapy students can undertake honours in the third and fourth years, provided they meet admission requirements.",Bachelor of Physiotherapy,071515G,Strathfield,,Domestic and International students.," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816"," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 21-Feb-2022
     #435858"
.,Melbourne  (58.50) Strathfield  (58.50),.,Campus availability,"


Melbourne  


Strathfield  



",Strathfield  (58.50),071515G,Ballarat  (77.00) Brisbane  (8/84) North Sydney  (97.50),https://courses.acu.edu.au/undergraduate/bachelor_of_psychological_science,.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",Domestic and International students.,"ACU’s undergraduate psychology programs help students to acquire knowledge, assimilate conceptual understandings and develop skills of application that are valuable to the enhancement of human functioning in a broad range of professional settings. Graduates of the Bachelor of Psychological Science will complete a sequence in psychology that is accredited by the Australian Psychology Accreditation Council (APAC). This sequence will ensure graduates acquire an advanced understanding of human behaviour, as well as highly regarded employability skills, including: This learning helps to prepare all students for optional further postgraduate study which may lead to registration as a professional psychologist. Our graduates will make meaningful contributions to improving the outcomes of clients, customers, colleagues and collaborators in a diverse range of settings including, but not limited to: government departments, private sector, schools, business, and not-for-profit organisations.",Bachelor of Psychological Science,078173A,Ballarat  Brisbane  North Sydney,,Domestic and International students.," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 26-Jul-2021
     #435872
   #435872
, 21-Feb-2022
     #435872
   #435872
, 18-Jul-2022
     #435872",null
.,Brisbane  (17/65) Canberra  (58.50) Strathfield  (58.50),.,Campus availability,"


Brisbane  


Canberra  


Strathfield  



",Ballarat  (77.00) Brisbane  (8/84) North Sydney  (97.50),078173A,Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_social_work,.," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816",Domestic and International students.,"The four-year Bachelor of Social Work degree is an entry qualification into the social work profession and has been determined to meet the Australian Social Work Education and Accreditation Standards (ASWEAS). ACU’s program is an Australian Association of Social Workers (AASW)-accredited qualification and includes the completion of 1000 hours of supervised field education and training, The ACU Bachelor of Social Work will produce graduates who:",Bachelor of Social Work,084790C,Melbourne  Strathfield,,Domestic and International students.," (pos1#435834#435901:  

22-Feb-2021

     (pos1#435834
   #435830#435901:  
, 21-Feb-2022
     #435830"," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872"
.,Brisbane  (16/66) Melbourne  (68.00) North Sydney  (60.00),.,Campus availability,"


Brisbane  


Melbourne  


North Sydney  



",Melbourne  (58.50) Strathfield  (58.50),084790C,Brisbane  (17/65) Canberra  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_speech_pathology,.," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816",Domestic and International students.,"Speech pathologists recognise the importance of communication and swallowing as activities that enable people to participate fully in their daily lives. They work with individuals, groups, families, and communities to support the development, rehabilitation and maintenance of effective communication and swallowing skills across the lifespan. Our speech pathology program will prepare you to assess and diagnose difficulties with speech, language, voice, fluency, multi-modal communication and swallowing, and enable you to provide intervention and support that is person-centred, culturally-sensitive and evidence-based. You’ll recognise the dignity of the human person and your responsibility towards the common good, and have opportunities to put your values, knowledge and skills into action with professional practice and community engagement activities in Australia and overseas.",Bachelor of Speech Pathology,078174M,Brisbane  Canberra  Strathfield,,Domestic and International students.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844"," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 21-Feb-2022
     #435858"
.,Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),.,Campus availability,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


Strathfield  



",Brisbane  (17/65) Canberra  (58.50) Strathfield  (58.50),078174M,Brisbane  (16/66) Melbourne  (68.00) North Sydney  (60.00),https://courses.acu.edu.au/undergraduate/bachelor_of_theology,.," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Domestic and International students.,"Framed by the Catholic intellectual tradition, this course introduces students to the richness and breadth of theological scholarship. Students can pursue an in-depth program of study in biblical studies, systematic theology, ministry, liturgy, ancient languages and philosophy. Students can also undertake units in other disciplines, such as in the liberal arts. Through the community engagement component of this degree, students are offered the opportunity to explore Christian theology in a range of contemporary settings, including Indigenous and international. Global experience is also encouraged as part of students’ learning, with study abroad opportunities available at the ACU Rome Centre, with one of our partner institutions in Europe or the United States, or in Israel with a study tour. Students develop a wide range of adaptable skills, including an enhanced capacity to analyse, critically reflect, evaluate, and to bring ethical perspectives to life and work. Students also develop their communication skills; the capacity to evaluate and discriminate between multiple viewpoints, and to develop and articulate compelling arguments (both orally and in writing).",Bachelor of Theology,029061D,Brisbane  Melbourne  North Sydney,,Domestic and International students.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844"," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 26-Jul-2021
     #435872
   #435872
, 21-Feb-2022
     #435872
   #435872
, 18-Jul-2022
     #435872"
.,Melbourne  (58.50) Strathfield  (58.50),.,Campus availability,"


Melbourne  


Strathfield  



",Brisbane  (16/66) Melbourne  (68.00) North Sydney  (60.00),029061D,Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_visual_arts_and_design,.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",Domestic and International students.,"The Bachelor of Visual Arts and Design degree provides an exciting mix of: You will explore the relationships between two-dimensional media areas such as drawing, painting, printmaking and photography, and three and four-dimensional areas such as sculpture, video production and object design, as well as graphic design leading to webpage design and animation. Students can specialise in one of these areas in the third year of the course plus there are opportunities for an internship and acquisition of relevant business skills.",Bachelor of Visual Arts & Design,040344M,Ballarat  Brisbane  Canberra  Melbourne  Strathfield,,Domestic and International students.," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 26-Jul-2021
     #435872
   #435872
, 21-Feb-2022
     #435872
   #435872
, 18-Jul-2022
     #435872",null
