,Duration:,Available to,"
",Location:,International_Course_Cost,CRICOS:,Domestic_Course_Price,2020 Main Round ATAR/OP,Available to:,"
    2020 Main Round ATAR/OP
    :
",2020 Main Round ATAR/OP    ,Website,Course,Study_Mode,Brisbane_International_Start_Date,Location,Melbourne_International_Start_Date,Duration,CRICOS,North_Sydney_International_Start_Date,Description
ATAR/OP not available for new courses.,4 years full time or equivalent part time.,Domestic and International students.,,"


Melbourne  


Strathfield  



",Unit Fee: $2953.00 (2021) Average first year fee: $23624.00 (2021) Estimated Total Cost: $94496.00 (2021),0101324,"Average first year fee:
    $8455 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) North Sydney  (58.50) Strathfield  (58.50),Domestic and International students.,,Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_exercise_and_sports_sciencebachelor_of_nutrition_science,Bachelor of Exercise and Sports Science/Bachelor of Nutrition Science,Campus availability," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Blacktown  Brisbane  Melbourne  Strathfield," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",3 years full-time or equivalent part-time.,069051G,null,"Physical activity and healthy eating are fundamental to good health and wellbeing for all human beings. Not only do they reduce the risk of disease, they improve or maintain overall quality of life through enhanced mental and social wellbeing. The Bachelor of Exercise and Sports Science/Bachelor of Nutrition Science will equip graduates to become experts in professions related to both exercise/sport science and nutrition science. Graduates will capitalize on the synergies between the two fields of study to promote optimal health and nutrition through the lifespan. The Bachelor of Exercise and Sports Science degree has core studies that provide an extensive knowledge base of how the human body works, with a specific focus on the role of exercise in health, well-being and performance. This is addressed from a psychological, anatomical, physiological, motor control, biomechanical and nutritional perspective, and is explored in the contexts of elite sport through to recreational physical activity as well as community health and wellbeing. Opportunities for industry-relevant experience are embedded in the course. The Bachelor of Nutrition Science degree provides an extensive knowledge and skills base in the scientific principles that underpin the study of food and nutrition, to promote health and optimal nutrition in individuals and the wider community, with the capacity to apply knowledge and skills in an ethical and respectful manner. The degree promotes the relationship between food/nutrition and health as a major contributor to wellbeing and disease prevention through the lifespan in diverse contexts. Graduates will demonstrate cognitive, technical and communication skills that meet the standards to undertake professional work in nutrition and food science fields. Graduates of this double degree will be eligible to apply for further study in nutrition research or in dietetics to become an accredited practising dietitian. In addition, they will be eligible to apply for further study in exercise science/sports science research, clinical exercise physiology to become an accredited exercise physiologist, or further study in high performance sport."
ATAR/OP not available for new courses.,"2.5*or 3 years, or part-time equivalent",Domestic and International students.,,"


Blacktown  


Brisbane  


Melbourne  


Strathfield  



",Unit Fee: $3100.00 (2021) Average first year fee: $24800.00 (2021) Estimated Total Cost: $74400.00 (2021),096799F,"Average first year fee:
    $8100 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),Domestic and International students.,Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),,https://courses.acu.edu.au/undergraduate/bachelor_of_high_performance_sport,Bachelor of High Performance Sport,Campus availability," (pos1#2358763#2358773:  

22-Feb-2021

     (pos1#2358763
   #2358759#2358773:  
, 26-Jul-2021   #2358759
   #2358759#2358773:  
, 21-Feb-2022   #2358759
   #2358759#2358773:  
, 18-Jul-2022   #2358759",Melbourne  Strathfield," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",4 years full time or equivalent part time.,0101324," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844","The high performance sport industry is a global, multi-billion dollar entity that provides employment opportunities for a range of professions, including sport scientists, coaches and managers. In Australia, there are employment opportunities in professional and semi-professional sporting teams, Australian and state institutes of sport, academies of sport, and other sporting organisations. These opportunities extend to the international market. At the heart of this industry is the conditioning of the athlete, with the aim of optimising individual and team performance for successful outcomes. A professional working in this industry needs to know about testing protocols to assess athlete performance, principles of strength and conditioning, the technologies available for monitoring and training athletes, and the relationships between nutrition, injury and performance. The application of this knowledge and understanding to the planning and delivery of meaningful interventions for athletes to enhance performance and reduce the likelihood of injury and illness is essential for a professional working in the high performance sport environment. The Bachelor of High Performance Sport degree provides an extensive knowledge and skills base relevant to human performance, from the physiological, psychological, biomechanical, nutritional and skill-based perspectives. This provides not only the skills for professional practice in sports performance and analysis, exercise programming, and the strength and conditioning of athletes, but also the skills for applying exercise prescription principles across the lifespan for healthy lifestyles and in injury and disease. The course aims to produce graduates with strong understanding and skills for the assessment, design and delivery of meaningful programs that enhance athletic performance and reduce the likelihood of injury and illness, using appropriate techniques to analyse and interpret competition and training information, required in high performance sport and related industries. Graduates should also have the capacity to apply their knowledge and skills in an ethical, fair and respectful manner, with problem solving and self-management skills that promote independent learning and thinking, and the pursuit of further learning to maintain relevance in their chosen career and industry."
ATAR/OP not available for new courses.,1 year full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


Strathfield  



",Unit Fee: $3100.00 (2021) Average first year fee: $24800.00 (2021) Estimated Total Cost: $24800.00 (2021),0101323,"Average first year fee:
    $9520 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),Domestic and International students.,,Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_high_performance_sport_honours,Bachelor of High Performance Sport (Honours),Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816",Blacktown  Brisbane  Melbourne  Strathfield," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844","2.5*or 3 years, or part-time equivalent",096799F," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872","This is a one-year degree or equivalent part time study, taught in English, for high-achieving students who have already completed a relevant Bachelor degree. Students initially develop an understanding of ethical research design, practice and analysis within a high performance research setting. This knowledge is then incorporated into an original and independent research project conducted under the supervision of academic staff and/or industry professionals with expertise in the field. Bachelor of High Performance Sport (Honours) students will: In an increasingly competitive job market, an honours degree will give you an edge over candidates who just have an undergraduate degree"
ATAR/OP not available for new courses.,3 years full-time or equivalent part-time.,Domestic and International students.,,"


Blacktown  


North Sydney  



",Unit Fee: $3635.00 (2021) Average first year fee: $29080.00 (2021) Estimated Total Cost: $87240.00 (2021),071241F,"Average first year fee:
    $9777 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),Domestic and International students.,Blacktown  (58.50) North Sydney  (58.50),,https://courses.acu.edu.au/undergraduate/bachelor_of_information_technology,Bachelor of Information Technology,Campus availability," (pos1#2358763#2358773:  

22-Feb-2021

     (pos1#2358763
   #2358759#2358773:  
, 26-Jul-2021   #2358759
   #2358759#2358773:  
, 21-Feb-2022   #2358759
   #2358759#2358773:  
, 18-Jul-2022   #2358759",Brisbane  Melbourne  Strathfield," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",1 year full-time or equivalent part-time.,0101323,null,"Do you dream of being at the cutting edge of an ever-evolving industry? Our Bachelor of Information Technology is accredited by the Australian Computer Society (ACS) and has been designed for students with the ambition and drive to shape the way we work, socialise, communicate and entertain. Study with us and get a head start building the future. We know that practical experience is important for you, so it's important for us. Our work integrated learning programs prepare you for the future world of work and build your employability skills, foster an entrepreneurial mindset and hone your communication and project management skills. In the classroom, you'll explore critical areas in an interactive environment with IT experts. And you'll graduate prepared for a myriad of careers – such as applications developer, data scientist, software architect, game designer, programmer, software engineer, web specialist and more. When you choose our Bachelor of Information Technology, you'll be able to study business electives. And, as a result, you'll graduate with a better understanding of how you can help your organisation develop the solutions to meet their technological challenges. Tap into our network of local and global industry partners when you study information technology with us."
ATAR/OP not available for new courses.,3 years full-time or equivalent part-time.,Domestic and International students.,,"


Melbourne  



",Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $72312.00 (2021),074604D,"Average first year fee:
    $8712 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),Domestic and International students.,Melbourne  (58.50),Blacktown  (58.50) North Sydney  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_international_development_studies,Bachelor of International Development Studies,Campus availability," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Blacktown  North Sydney,null,3 years full-time or equivalent part-time.,071241F,null,"This degree combines units that offer local and historical knowledge of specific geographic areas of the developing world, with units that explore transnational dimensions of development. This  combination of subject matter enables students to gain knowledge of the planning, implementation and consequences of political and economic change, particularly the uneven effects of development policies on communities. Students will also gain knowledge of the macro and micro sociological forces, including social movements that have impacted historically on political, economic, cultural and ecological conditions,  resulting in extreme poverty, poor health, fragile governance, inequality and environmental vulnerability. The degree grounds students in qualitative and quantitative research methods, providing them with the skills and knowledge to be able to determine appropriate strength-based capacity building approaches, and to identify economic inclusion strategies that promote economic opportunities for marginalised communities. The Bachelor of International Development Studies degree is located within the discipline area of ‘development studies’, which is an interdisciplinary branch of social science. The discipline area of development studies draws from a range of disciplines, particularly: anthropology, sociology, political science, human geography, environmental  science, history and economics. The main objective of the degree is to provide students with the knowledge, critical perspectives understanding and skills needed for competent, compassionate, ethical and professional engagement with communities in the developing world.  ACU BIDS graduates have a strong commitment to the common good and respect for the dignity of the human person. During the course students will gain hands-on experience in an international humanitarian or development program through the compulsory Immersion Experience unit. In addition to development theory and practice, students will study:"
ATAR/OP not available for new courses.,4 years full-time or equivalent part-time.,Domestic and International students.,,"


Blacktown  


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $3825.00 (2021) Average first year fee: $30600.00 (2021) Estimated Total Cost: $122400.00 (2021),079438F,"Average first year fee:
    $10593 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Blacktown  (58.50) North Sydney  (58.50),Domestic and International students.,Melbourne  (70.00) North Sydney  (70.00),Melbourne  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_laws,Bachelor of Laws,Campus availability," (pos1#2358763#2358773:  

22-Feb-2021

     (pos1#2358763
   #2358759#2358773:  
, 26-Jul-2021   #2358759
   #2358759#2358773:  
, 21-Feb-2022   #2358759
   #2358759#2358773:  
, 18-Jul-2022   #2358759",Melbourne," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",3 years full-time or equivalent part-time.,074604D," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844","Take a global, practical and ethical approach to your studies with our Bachelor of Laws. You’ll be signing up to make an impact in your legal career by placing an emphasis on justice, equity and the dignity of all human beings. Graduate with a degree that has been designed to incorporate international law and the globalised nature of the legal profession. Not only will you study compulsory international law units within your law degree, you’ll also can study units overseas, either at our Rome Campus or at one of our partner institutions located all around the globe. All of our law students undertake pro bono placements in law firms or with leading barristers, community legal centres, NGOs, government departments, or social justice agencies. Combine our Bachelor of Laws with another degree and you’ll double your value to employers and open up your career options. With us, you’ll have the opportunity to study law alongside the following courses: Bachelor of Arts, Bachelor of Biomedical Science, Bachelor of Business Administration, Bachelor of Commerce, Bachelor of Global Studies, Bachelor of Philosophy, Bachelor of Psychological Science and Bachelor of Theology."
ATAR/OP not available for new courses.,3 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $3825.00 (2021) Average first year fee: $30600.00 (2021) Estimated Total Cost: $91800.00 (2021),079434K,"Average first year fee:
    $11152 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (58.50),Domestic and International students.,Melbourne  (78.00) North Sydney  (78.00),Melbourne  (70.00) North Sydney  (70.00),https://courses.acu.edu.au/undergraduate/bachelor_of_laws_graduate_entry,Bachelor of Laws (Graduate Entry),Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Blacktown  Brisbane  Melbourne  North Sydney," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",4 years full-time or equivalent part-time.,079438F," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","The Bachelor of Laws (Graduate Entry) is a three-year degree designed for experienced students who have completed a previous Bachelor level degree. You can pursue a range of legal careers including: Typically, you develop specialisations in different fields of law throughout your career – from criminal law to family law; from environmental law to corporation law, from international trade to entertainment law. As part of this degree you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good."
ATAR/OP not available for new courses.,3 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  



",Unit Fee: $3825.00 (2021) Average first year fee: $30600.00 (2021) Estimated Total Cost: $91800.00 (2021),,"Average first year fee:
    $7035 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (70.00) North Sydney  (70.00),Domestic students only.,Brisbane  (13/72) Melbourne  (75.00),Melbourne  (78.00) North Sydney  (78.00),https://courses.acu.edu.au/undergraduate/bachelor_of_midwifery,Bachelor of Midwifery,Campus availability,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Brisbane  Melbourne  North Sydney,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844",3 years full-time or equivalent part-time.,079434K,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858","The Bachelor of Midwifery is for those who want to become registered midwives and work in maternity settings such as hospitals, birth centres and other community agencies. This midwifery course will teach you how to: Bachelor of Midwifery students will do over 1000 hours of midwifery clinical practice throughout the course in hospital and community settings. The students will also engage with a minimum of ten women to follow their pregnancy, labour, birth and postnatal care journey called their Continuity of Care Experiences (CCE). This experience involves the student recruiting the woman in early pregnancy and attending appointments throughout. If possible, the student attends the labour and birth and follows the woman after discharge home up to six weeks following birth. Possible career paths include: A graduate entry program is available to registered nurses and paramedics."
ATAR/OP not available for new courses.,2 years full-time or equivalent part-time (Graduate Entry only). <strong>(Graduate Entry only)</strong> 2 years full-time or equivalent part-time (Graduate Entry only).,Domestic students only.,,"


Brisbane  



",Unit Fee: $3825.00 (2021) Average first year fee: $30600.00 (2021) Estimated Total Cost: $91800.00 (2021),,"Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (78.00) North Sydney  (78.00),Domestic students only.,Brisbane  (93.00),Brisbane  (13/72) Melbourne  (75.00),https://courses.acu.edu.au/undergraduate/bachelor_of_midwifery_graduate_entry,Bachelor of Midwifery (Graduate Entry),Campus availability,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Brisbane  Melbourne,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844",3 years full-time or equivalent part-time.,079434K,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858","This course offers bachelor–qualified nurses and paramedics the opportunity to qualify with a Bachelor of Midwifery. Applicants to the course must be registered nurses or currently practicing paramedics. Graduates may work in maternity settings such as hospitals, birth centres, special care nurseries and other community agencies. This midwifery course will teach you how to: Bachelor of Midwifery students will undertake over 1000 hours of midwifery clinical practice throughout the course in hospital and community settings. The students will also engage with a minimum of ten women to follow their pregnancy, labour, birth and postnatal care journey called their Continuity of Care Experiences (CCE). This experience involves the student recruiting the woman in early pregnancy and attending appointments throughout. If possible, the student attends the labour and birth and follows the woman after discharge home up to six weeks following birth. Possible career paths include:"
ATAR/OP not available for new courses.,3 years full-time or equivalent part-time.,Domestic students only.,,"


Brisbane  



",Unit Fee: $3825.00 (2021) Average first year fee: $30600.00 (2021) Estimated Total Cost: $91800.00 (2021),,"Average first year fee:
    $7035 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (13/72) Melbourne  (75.00),Domestic students only.,,Brisbane  (93.00),https://courses.acu.edu.au/undergraduate/bachelor_of_midwifery_indigenous_program,Bachelor of Midwifery (Indigenous),Campus availability,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Brisbane,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844",2 years full-time or equivalent part-time (Graduate Entry only). <strong>(Graduate Entry only)</strong> 2 years full-time or equivalent part-time (Graduate Entry only).,079434K,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858","This midwifery course is for Aboriginal and Torres Strait Islander women who want to become registered midwives. As with the Bachelor of Midwifery, this course prepares Aboriginal and Torres Strait Islander students to work as entry-level midwives in any maternity setting – focusing on Aboriginal and Torres Strait Islander women and their families. Students will enrol in this midwifery course in an ‘away-from-base’ capacity. The ‘away-from-base’ mode enables students to live and work in their local community while studying and attending four residentials of one week each in Brisbane throughout the year. The students will also engage with a minimum of ten women to follow their pregnancy, labour, birth and postnatal care journey called their Continuity of Care Experiences (CCE). This experience involves the student recruiting the woman in early pregnancy and attending appointments throughout. If possible, the student attends the labour and birth and follows the woman after discharge home up to six weeks following birth. The Bachelor of Midwifery (Indigenous) degree will teach you how to:"
ATAR/OP not available for new courses.,3 years full-time or equivalent part-time.,Domestic students only.,,"


Ballarat  


Blacktown  


Brisbane  


Canberra  


Melbourne  


North Sydney  



",Unit Fee: $3690.00 (2022) Average first year fee: $29520.00 (2022) Estimated Total Cost: $88560.00 (2022),001293G,"Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (93.00),Domestic and International students.,Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (70.00) North Sydney  (63.00),,https://courses.acu.edu.au/undergraduate/bachelor_of_nursing,Bachelor of Nursing,Campus availability," (pos1#435806#435899:  

21-Feb-2022

     (pos1#435806",Brisbane," (pos1#435820#435900:  

21-Feb-2022

     (pos1#435820",3 years full-time or equivalent part-time.,079434K," (pos1#435834#435901:  

21-Feb-2022

     (pos1#435834","ACU is the largest provider of nurses in Australia. Our close links with hospitals and health care partners guarantee clinical experience in diverse settings. The Bachelor of Nursing develops caring professional nurses who are proactive and adaptable, competent and ethical clinicians, and creative and critical thinkers. Across the course theory will be consistently embedded in clinical practice through the inclusion of one Integrating Practice unit every semester. Clinical placement areas include aged care, community nursing, high dependency nursing, medical/surgical nursing, mental health, paediatrics, palliative care, and perioperative nursing. You may also take up the opportunity to engage with communities overseas and gain unique educational and cultural experiences working in care facilities in developing countries. Pending meeting local registration requirements, Bachelor of Nursing graduates can pursue a range of careers as a Registered Nurse within the health care industry including:"
ATAR/OP not available for new courses.,2 years full-time or equivalent part-time.,Domestic and International students.,,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


North Sydney  



",Unit Fee: $3690.00 (2022) Average first year fee: $29520.00 (2022) Estimated Total Cost: $59040.00 (2022),086187F,"Average first year fee:
    $7035 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (93.00),Domestic and International students.,Brisbane  (82.00) Canberra  (75.00) North Sydney  (75.00),Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (70.00) North Sydney  (63.00),https://courses.acu.edu.au/undergraduate/bachelor_of_nursing_enrolled_nurses,Bachelor of Nursing (Enrolled Nurses),Campus availability," (pos1#435806#435899:  

20-Feb-2023

     (pos1#435806",Ballarat  Blacktown  Brisbane  Canberra  Melbourne  North Sydney," (pos1#435820#435900:  

21-Feb-2022

     (pos1#435820
   #435816#435900:  
, 20-Feb-2023
     #435816",3 years full-time or equivalent part-time.,001293G," (pos1#435834#435901:  

20-Feb-2023

     (pos1#435834","More nurses graduate from ACU than anywhere else in Australia – and for good reason. Our nursing courses are known for developing professionals who are caring, adaptable, safe and ethical. The Bachelor of Nursing (Enrolled Nurses) is structured to allow Diploma-qualified enrolled nurses to qualify with a Bachelor degree. The program uses learner-centred approaches including inquiry and situation-based learning to enhance students’ experiences as well as their readiness for the workplace. Throughout the course you will connect theory to practice and may have the opportunity to undertake a clinical nursing specialty in your final semester. Specialties linked with industry in areas of workforce include: You may also take up the opportunity to engage with communities overseas and gain unique educational and cultural experiences working in care facilities in developing countries. Bachelor of Nursing graduates can pursue a range of careers within the health care industry including:"
ATAR/OP not available for new courses.,3 years full-time or equivalent part-time.,Domestic and International students.,,"


Blacktown  


Melbourne  


North Sydney  



",Unit Fee: $3042.00 (2021) Average first year fee: $24336.00 (2021) Estimated Total Cost: $73008.00 (2021),094690B,"Average first year fee:
    $9165 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (70.00) North Sydney  (63.00),Domestic and International students.,Melbourne  (58.50) Blacktown  (58.50) North Sydney  (58.50),Brisbane  (82.00) Canberra  (75.00) North Sydney  (75.00),https://courses.acu.edu.au/undergraduate/bachelor_of_nutrition_science,Bachelor of Nutrition Science,Campus availability," (pos1#2358763#2358773:  

22-Feb-2021

     (pos1#2358763
   #2358759#2358773:  
, 21-Feb-2022   #2358759",Ballarat  Brisbane  Canberra  Melbourne  North Sydney," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",2 years full-time or equivalent part-time.,086187F," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 21-Feb-2022
     #435858","Nutritionists promote healthy eating and lifestyles to individuals, communities and populations. Nutritionists create opportunities for people to learn about food and nutrition, design food products to support a healthy diet, influence food systems to foster sustainability, and advocate for a safe and equitable food supply across the globe. Studies in nutrition therefore include the science behind food and nutrition – biology and human physiology and chemistry and biochemistry, food and culinary nutrition science and the role of food and nutrition in health promotion and disease prevention. Nutrition links very closely with the national and global health priorities related to overnutrition and risk of obesity, diabetes and cardiovascular disease, much of which is preventable through a healthy lifestyle. ACU's program focuses on nutrition for general health, with understanding of the role of food and nutrition in chronic disease management, Aboriginal and Torres Strait Islander nutrition related health and community and public health priorities. ACU is the only university in Australia to offer students the opportunity to focus their study on culinary nutrition, an emerging area for work in the food and nutrition industry. The degree will appeal to anyone interested in a career as a nutritionists in public health and policy, in culinary nutrition science, in food and nutrition education and communication, in food science and technology, and in the research and food product development sectors. Work placement units provide students with eposure to work settings where they may gain employment following graduation and international short term study offers students the chance to enrich their university learning experience. The program also provides the basis for postgraduate studies in dietetics. Dietitians treat disease through diet and therefore require additional studies and clinical practice in health settings."
ATAR/OP not available for new courses.,4 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $4934.00 (2021) Average first year fee: $39472.00 (2021) Estimated Total Cost: $157888.00 (2021),078172B,"Average first year fee:
    $9165 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (82.00) Canberra  (75.00) North Sydney  (75.00),Domestic and International students.,Brisbane  (13/72) Melbourne  (65.00) North Sydney  (79.00),Melbourne  (58.50) Blacktown  (58.50) North Sydney  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_occupational_therapy,Bachelor of Occupational Therapy,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816",Blacktown  Melbourne  North Sydney," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",3 years full-time or equivalent part-time.,094690B," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 21-Feb-2022
     #435858","Occupational therapists play an important role in the lives of individuals and communities enabling participation in occupations of self-care, productivity and leisure. To do this, occupational therapists need to know how humans function, and need the skills to practice competently and safely. You will learn how to analyse and assess occupational performance; apply and evaluate interventions to enable occupational performance; and collaborate and communicate effectively with clients and their families and colleagues. You will undertake 1,000 hours of professional practice education, starting in the first year, working with people across the life-span to help them overcome physical, cognitive or societal barriers to participation. This meets entry-level competency standards for the World Federation of Occupational Therapists (WFOT). High achieving Bachelor of Occupational Therapy students can undertake honours in the third and fourth years, provided they meet admission requirements."
ATAR/OP not available for new courses.,3 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $4934.00 (2021) Average first year fee: $39472.00 (2021) Estimated Total Cost: $157888.00 (2021),,"Average first year fee:
    $8810 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (58.50) Blacktown  (58.50) North Sydney  (58.50),Domestic students only.,Brisbane  (15/68) Melbourne  (85.00) North Sydney  (97.00),Brisbane  (13/72) Melbourne  (65.00) North Sydney  (79.00),https://courses.acu.edu.au/undergraduate/bachelor_of_paramedicine,Bachelor of Paramedicine,Campus availability,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 21-Feb-2022     #435816",Brisbane  Melbourne  North Sydney,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 21-Feb-2022     #435844",4 years full-time or equivalent part-time.,078172B,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 21-Feb-2022     #435858","It’s an exciting time for paramedicine. As one of the fastest evolving health professions, ACU aims to be at the forefront of change and creating paramedics for the future. By developing professional paramedics who are emotionally intelligent and motivated to improve communities we provide the foundations for you to deliver compassionate primary, urgent and or emergency health care in challenging and dynamic environments. Through authentic learning and diverse clinical experiences, you will develop key attributes for paramedicine, including: Graduates will be eligible to become a registered paramedic under the Australian Health Practitioner Regulation Agency (AHPRA), and with further study and experience, they can progress towards being a: The knowledge and skills developed are applicable for the national and international workforce. For those meeting a high-standard within the Bachelor of Paramedicine, you will be eligible to apply for Honours program upon completion."
