Available to:,Study_Mode,Description,Duration:,Melbourne_International_Start_Date,Available to,Location,Brisbane_International_Start_Date,Domestic_Course_Price,Course,CRICOS:,CRICOS,North_Sydney_International_Start_Date,Website,Location:,Duration,International_Course_Cost
,Campus availability,"The ACU Graduate Certificate in Health Professional Education  gives students a foundation for facilitating clinical learning, equipping you with the knowledge and skills to plan, implement, and evaluate clinical education programs within the health care workplace. Students will be supported in the learning of foundational theories, models and perspectives of learning and teaching with an emphasis on learning and practice development in workplaces. Students will explore the importance of constructive alignment in curriculum development, assessment strategies and evaluation of programs. The focus of this course will be to advance evidence-based learning and teaching activities and programs, coordinate collaboration among the health professions, and provide high quality learning experiences with the overall intention of enhancing safe and quality patient care. This course is designed for health care professionals seeking a pathway into health professional education. On successful completion of the Graduate Certificate in Health Professional Education, graduates should be able to:",1 year part-time.,null,Domestic students only.,North Sydney   Open Universities Australia,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Average first year fee:    $10136 Fee-Paying     (indicative only),Graduate Certificate in Health Administration,,102425D,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_health_professional_education,"

 Open Universities Australia

",1 year part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
,Campus availability,"The high performance sport industry is a global, multi-billion dollar entity that provides employment opportunities for a range of professions, including sport scientists, coaches and managers. The Graduate Certificate in High Performance Sport aims to help students develop the knowledge, understanding and skills needed to enhance the conditioning of high performance athletes, with the aim of optimising individual and team performance, within the context of a multidisciplinary environment and its culture and leadership structures, and to do so in an ethical manner characterised by a concern for respect, equity and social justice. A professional working in this industry needs to know about testing protocols to assess athlete performance, principles of strength and conditioning, and the technologies available for monitoring and training the high performance athlete. They will need to understand the relationships between fatigue, adaptation, performance and injury, how to acquire meaningful performance data, and how to work within the culture of a high performance industry. The application of this knowledge and understanding to the planning and delivery of meaningful interventions for athletes to enhance performance and reduce the likelihood (and/or duration) of injury and illness, using appropriate techniques of analysis to accurately interpret competition and training information, and using advanced information literacy skills to communicate ideas and outcomes to specialist and non-specialist audiences is essential for a professional working in the high performance sport environment. Professionals in this area also need to be equipped with problem solving and self-management skills that promote independent learning and thinking and for pursuing further learning if they are to maintain relevance in an industry that is, by definition, fiercely competitive and constantly evolving. In Australia, there are employment opportunities in professional and semi-professional sporting teams, Australian and state institutes of sport, academies of sport, and other sporting organisations. These opportunities extend to the international market. At the heart of this industry is the conditioning of the athlete, with the aim of optimising individual and team performance for successful outcomes.",6 months full-time or 1 year part-time,null,Domestic students only.,Open Universities Australia,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Average first year fee:    $10136 Fee-Paying     (indicative only),Graduate Certificate in Health Administration,,102425D,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_high_performance_sport,"

 Open Universities Australia

",1 year part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
,Campus availability,"The high performance sport industry is increasingly focused on developing employees and athletes with strong leadership skills and training in ethics and social responsibility. Proposed regulatory changes within the industry may make these skills a necessity. This course is designed to address these industry demands by developing specialist knowledge and skills for leadership and communication in high performance sport settings. The course addresses its curriculum underpinned by dignity, self-worth and respect for others as a nuance to professionalism that makes such professionals more effective and more highly valued leaders. The course targets experienced professionals in the High Performance Sport industry. Given these professionals are working, often in national and international contexts, the Graduate Certificate in High Performance Sport Leadership is designed to accommodate these commitments. Thus, the major design feature of the course is primarily online, with an intensive on-campus component incorporated to support this delivery and provide students with critical learning opportunities relevant to training in leadership and communication. Moreover, the intensive component will provide the added opportunity to network directly with industry specialists and other students in the course. The course is a pathway into ACU’s Master of High Performance Sport and Graduate Diploma in High Performance Sport.",1 year part-time,null,Domestic students only.,Open Universities Australia,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Average first year fee:    $10136 Fee-Paying     (indicative only),Graduate Certificate in Health Administration,,102425D,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_high_performance_sport_leadership,"

 Open Universities Australia

",6 months full-time or 1 year part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
,Deferment ,"The Graduate Certificate in Higher Education supports the acquisition and development of knowledge, intellectual and practical skills needed to undertake academic teaching responsibilities in a scholarly way. The course comprises four units of study. These focus on theories, principles and concepts related to learning and teaching in higher education; curriculum and assessment design, and evaluation of higher education programs; development of knowledge and skill in the area of Technology Enhanced Learning (TEL); and, development of capability in the Scholarship of Learning and Teaching (SoLT). Graduates will develop their knowledge, intellectual and practical skills in ways that are informed by, and benefit from, the university's graduate attributes and the University's mission.",2 years part-time. Maximum duration: 4 years part-time.,null,Domestic students only.,Open Universities Australia,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Average first year fee:    $10136 Fee-Paying     (indicative only),Graduate Certificate in Health Administration,,102425D,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_higher_education,,1 year part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic and International students.,Campus availability,The Graduate Certificate in Information Technology lays the foundation for a specialist qualification in the Master of Information Technology. The Graduate Certificate provides you with the introduction to important information technology principles. You will be ready to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The Graduate Certificate in Information Technology articulates into the Master of Information Technology. This is a six-month full-time (or part-time equivalent) course.,6 months full-time or equivalent part-time.,null,Domestic students only.,Open Universities Australia," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","Average first year fee:
    $14000 Fee-Paying 

    (indicative only)",Graduate Certificate in Information Technology,071003J,102425D,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_information_technology,"


North Sydney  


Online  



",2 years part-time. Maximum duration: 4 years part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic and International students.,Campus availability,"The Graduate Certificate in Innovation and Entrepreneurship in focuses on the mindset, methods, skills, and knowledge needed to commercialise creative ideas through developing and managing high growth ventures. In this course, students will learn creative, entrepreneurial, and ethical approaches to business that may pave their way for new careers in fields such as marketing, business management, venture analysis, and as an owner or operator of their own entrepreneurial business. This specialist certificate provides ongoing professional development for existing managers with an interest in innovation as well as operating as a pathway to an MBA program for those without a prior cognate undergraduate degree and as a specialisation for those who are enrolled in an MBA program. This is a six-month full-time (or part-time equivalent) course.",6 months full-time or equivalent part-time.," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862",Domestic and International students.,North Sydney  Online," (pos1#2358763#2358773:  

22-Feb-2021

     (pos1#2358763","Average first year fee:
    $14000 Fee-Paying 

    (indicative only)",Graduate Certificate in Innovation and Entrepreneurship,102811E,071003J,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_innovation_and_entrepreneurship,"


Blacktown  


Brisbane  


Melbourne  


North Sydney  


Online  



",6 months full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"The Graduate Certificate in Mental Health is aimed at  allied health professionals who work with clients experiencing mental health issues, but who have no formal postgraduate mental health qualification. It aims to expand allied health clinicians’ knowledge and skills in mental health practice with evidence-based knowledge and skills practice enabling application/translation recovery oriented socially inclusive and reflective practice in the clinical setting. Graduates of the program should be able to:",1 year part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,Domestic and International students.,Blacktown  Brisbane  Melbourne  North Sydney  Online,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"Average first year fee:
    $10136 Fee-Paying 

    (indicative only)",Graduate Certificate in Mental Health,,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_mental_health,"


Online  



",6 months full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,The Graduate Certificate in Mental Health Nursing aims to expand nursing clinicians’ knowledge and skills in mental health practice with evidence-based knowledge and practice enabling immediate application/translation in the workplace. Graduates of the program should be able to:,1 year part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,Domestic students only.,Online,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"Average first year fee:
    $10136 Fee-Paying 

    (indicative only)",Graduate Certificate in Mental Health Nursing,,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_mental_health_nursing,"


Online  



",1 year part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"The Graduate Certificate in Mission and Catholic Culture is designed for professionals in Catholic institutions of higher education and faith-based organisations and agencies who wish to enhance their understanding of the specifically Christian and Catholic context in which they are leaders, and to develop skills in the promotion of a Christian and Catholic culture. In contemporary and emerging post-Christian contexts, Catholic and other Christian mission based organisations are placing a greater and more strategic emphasis on the capacity of their staff to grasp and articulate the mission of their organisations, and to do so intelligently and in meaningful ways. Through an alignment of individual and organisational mission, meaning and purpose, a person can develop ""mission literacy"". This has become a vital and effective way to facilitate the flourishing of both the individual within an organisation, and the organisation itself. There is a need to deliberately and consciously develop ""mission literacy"". Any person that has such a developed and conscious 'mission literacy', or is exposed to it, can function in ways that more effectively and efficiently promote human flourishing and dignity – including for themselves. Further, such 'literacy' can result in internal organisational cultures that support high productivity because they are characterised by concepts such as 'harmonious', and 'welcoming' places of belonging and support. The purpose of this course is to support and assist personnel within Catholic and other faith based organisations to acquire the factual and experiential knowledge through readings, reflections and discussions. This supports development in the conceptual and analytical capabilities required to reflect on and to realise personal and organizational mission alignment.",6 months full-time or equivalent part-time.,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,Domestic students only.,Online,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"Average first year fee:
    $9064 Fee-Paying 

    (indicative only)",Graduate Certificate in Mission and Culture,,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_mission_and_culture,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


North Sydney  


Strathfield  



",1 year part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
,Campus availability,"The Graduate Certificate in Occupational Health, Safety and Environmental (OHSE) Management provides students with basic technical competencies in OHSE theory and practice. The course comprises four units that will prepare you for an entry-level position in OHSE. The Graduate Certificate in OHSEM is a pathway program to the Graduate Diploma in OHSEM and Master of OHSEM, both of which are accredited courses that provide students with the educational requirements to seek certification as an OHS Professional.The Graduate Certificate is available as an exit award from the Master of OHSEM. The course is offered online through Open Universities Australia.",6 months full-time or equivalent part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,Domestic students only.,Ballarat  Brisbane  Canberra  Melbourne  North Sydney  Strathfield,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Average first year fee:    $9064 Fee-Paying     (indicative only),Graduate Certificate in Mission and Culture,,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_ohse_mgmt,"

 Open Universities Australia

",6 months full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"Performance analysis is a rapidly growing area of specialisation in the high performance sport industry, both nationally and internationally. The Graduate Certificate in Performance Analysis provides specialist knowledge and skills in performance analysis, by providing theoretical and applied foundations for practice in this industry. You will develop advanced knowledge and skills in data handling and analysis, and be exposed to technologies used in high performance sport settings. The learning outcomes encourage critical thinking, solving of complex problems, and communication of complex knowledge and ideas to other professionals working in the high performance sport industry. In Australia, there are employment opportunities in professional and semi-professional sporting teams, the National Institutes Network, and other sporting organisations. These opportunities extend to the international market. At the heart of this industry is the conditioning of the athlete, with the aim of optimising individual and team performance for successful outcomes.",12 months part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,Domestic students only.,Open Universities Australia,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"Average first year fee:
    $9744 Fee-Paying 

    (indicative only)",Graduate Certificate in Performance Analysis,,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_performance_analysis,"


Online  



",6 months full-time or equivalent part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"The Graduate Certificate in Philosophy (Healthcare Ethics) will introduce students to a range of ethical issues touching directly on the provision of healthcare services. It is designed for people with leadership and educational roles in health and aged care. More specifically, the Graduate Certificate in Philosophy (Healthcare Ethics) will:",2 years part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,Domestic students only.,Online,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"Average first year fee:
    $9064 Fee-Paying 

    (indicative only)",Graduate Certificate in Philosophy (Healthcare Ethics),,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_philosophy_healthcare_ethics,"


Blacktown  



",12 months part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"ACU’s Graduate Certificate in Public Health equips graduates with knowledge, understanding and skills in public health to improve population health and well-being. The course prepares graduates to practice with a community, national or global focus, and with an ethical, social justice perspective. On successful completion of the course, graduates should be able to demonstrate knowledge of major public health issues, approaches, principles and policy; analyse and utilise best available evidence to support public health action; and demonstrate skills needed to critique and implement particular types of public health interventions. In order to complete the Graduate Certificate in Public Health, students must successfully complete 40 credit points (cp) of specified public health units. Articulation from this course into the Graduate Diploma in Public Health or the Master of Public Health is available.",6 months full-time or 1 year part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,Domestic students only.,Blacktown,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"Average first year fee:
    $10136 Fee-Paying 

    (indicative only)",Graduate Certificate in Public Health,,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_public_health,"


Melbourne  

 Open Universities Australia

",2 years part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
