Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_or_Unit_2,Subject_or_Unit_3,Subject_or_Unit_4,Subject_or_Unit_5,Subject_or_Unit_6,Subject_or_Unit_7,Subject_or_Unit_8,Subject_or_Unit_9,Subject_or_Unit_10,Subject_or_Unit_11,Subject_or_Unit_12,Subject_or_Unit_13,Subject_or_Unit_14,Subject_or_Unit_15,Subject_or_Unit_16,Subject_or_Unit_17,Subject_or_Unit_18,Subject_or_Unit_19,Subject_or_Unit_20,Subject_or_Unit_21,Subject_or_Unit_22,Subject_or_Unit_23,Subject_or_Unit_24,Subject_or_Unit_25,Subject_or_Unit_26,Subject_or_Unit_27,Subject_or_Unit_28,Subject_or_Unit_29,Subject_or_Unit_30,Subject_or_Unit_31,Subject_or_Unit_32,Subject_or_Unit_33,Subject_or_Unit_34,Subject_or_Unit_35,Subject_or_Unit_36,Subject_or_Unit_37,Subject_or_Unit_38,Subject_or_Unit_39,Subject_or_Unit_40
BA,Macquarie University,North Ryde,Bachelor of Commerce with a Major in Finance,Computer Science & Information Technology,,"14,500",AUD,Years,3,Years,Yes,Yes,ATAR,80,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-commerce-finance,English,I,"Finance is the study of financial institutions, markets and instruments, their effect on the flow of funds within the economy, and the control of risk. Finance at Macquarie investigates three core areas: corporate finance, financial analysis, and portfolio management. Complementary units in accounting, economics, statistics, computing and actuarial studies allow you to develop a comprehensive understanding of the discipline and its practical applications.","PROFESSIONS: banker. corporate manager. financial planner/adviser. foreign exchange dealer. funds manager. government policy adviser. insurance consultant. investment analyst. management consultant. portfolio managerEMPLOYERS: Accounting and consultancy firms (such as Accenture, PricewaterhouseCoopers). Commercial banks (such as Commonwealth Bank Australia, AMP). Government organisations and agencies (including Treasury, Reserve Bank of Australia). Educational institutions. International organisations (such as IMF, World Bank, OECD). Investment banks (such as Macquarie Bank). Non-governmental organisations (such as Greenpeace, World Health Organisation). Research organisations",Australia,No,Yes,No,Yes,No,,Information Systems for Management,Current Issues in Economics,HRM Project,Principles of Financial Literacy,Agility and Excellence in Business,Principles of Economics 1,Marketing Project,Principles of Management,Accountants in the Profession,Derivative Instruments,Business Statistics,Issues in Corporate Finance,Computing Industry Project,Investments,Money and Finance,Student Leadership in Community Engagement,Finance 1A,Accounting in Society,Environmental Economics,Entrepreneurship Project,Stochastic Methods in Applied Finance,Management Project,International Finance,Financial Modelling,Marketing Fundamentals,Advanced Corporate Finance,International Business Project,Business Analytics Project,Finance 1B,Financial Statement Analysis,Applied Portfolio Management,Information Systems and Business Processes,Psychological Science: Putting Theory into Practice,International Exchange Experience,International Studies Internship,C German Studies 4,Civil and Criminal Procedure,Competition Law,International Human Rights Law,Law and Technology
BA,Macquarie University,North Ryde,Bachelor of Commerce with a Major in Human Resource Management,Tourism and Hotel Management,,"14,500",AUD,Years,3,Years,Yes,Yes,ATAR,80,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-commerce-human-resource-management,English,I,"Human resource management involves the management of human capital to create a competitive advantage. It’s a crucial function in medium and large organisations in domestic and international contexts.
This major will prepare you to respond to new challenges and changes in the workplace. It focuses on the processes and techniques that create and maintain high-performing, efficient and ethical organisations. You’ll engage in aspects of day-to-day operations, strategic thinking and decision making. You’ll develop change management and sustainability techniques, gain consulting skills, and learn how to formulate effective recruitment strategies. Areas that you’ll acquire expertise in include workforce and succession planning, equity and diversity, performance management and human resource development systems, and creation of sustainable and ethical organisations.",PROFESSIONS: Change agent/manager. Employee relations manager. Equity and diversity manager. Human resource management consultant. Human resource management officer. Learning and development manager. Recruitment consultant. Recruitment manager. Small business owner. Strategy architect. Training officer/manager. Work health and safety managerEMPLOYERS: Consulting firms. Government agencies. Multinational organisations. Private and public-sector organisations. Profit and non-profit organisations. Recruitment agencies. Training organisations,Australia,No,Yes,No,Yes,No,,Entrepreneurship Project,Business Analytics Project,Strategic Human Resource Management,Finance 1A,Principles of Economics 1,Computing Industry Project,Student Leadership in Community Engagement,Foundations in Human Resources Law,Managing Change in Organisations,Issues in Corporate Finance,International Human Resource Management,Current Issues in Economics,Accountants in the Profession,International Business Project,The Art of Negotiation,Management Project,Marketing Fundamentals,Managing Performance and Rewards,Staffing Organisations,Introduction to Human Resource Management,Accounting in Society,Workplace Relations,Principles of Management,HRM Project,Agility and Excellence in Business,Business Statistics,Marketing Project,Business Analytics Project,Finance 1B,Financial Statement Analysis,Applied Portfolio Management,Information Systems and Business Processes,Psychological Science: Putting Theory into Practice,International Exchange Experience,International Studies Internship,C German Studies 4,Civil and Criminal Procedure,Competition Law,International Human Rights Law,Law and Technology
BA,Macquarie University,North Ryde,Bachelor of Commerce with a Major in International Business,Computer Science & Information Technology,,"14,500",AUD,Years,3,Years,Yes,Yes,ATAR,80,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-commerce-international-business,English,I,"This major is designed for students contemplating a career with an international focus. Centred on the study of international firms   their strategy, corporate policies and operations   it focuses on the institutional side of business, which is becoming increasingly important due to the globalisation of the business world. It fosters an understanding of why international business is different and how international business opportunities can be exploited.",PROFESSIONS: business analyst. business development officer. communications manager. financial officer. human development adviser. human resource administrator. import/export manager. international political adviser. international relations manager. international trade adviser. management consultant. office manager. operations analystEMPLOYERS: large and small businesses. business analyst firms. government organisations. management consultancy firms. marketing and PR firms. not-for-profit institutions,Australia,No,Yes,No,Yes,No,,Principles of Economics 1,International Business Operations,Accounting in Society,Finance 1A,Accountants in the Profession,Business Analytics Project,Student Leadership in Community Engagement,Computing Industry Project,Sustainability in International Business,Principles of Management,HRM Project,Marketing Project,Cross Cultural Management,Business Statistics,Business Forecasting,Issues in Corporate Finance,International Business Project,The Art of Negotiation,Entrepreneurship Project,Management Project,Marketing Fundamentals,Current Issues in Economics,Agility and Excellence in Business,Introduction to Global Business,International Study Tour,Global Business Strategy,Asian Business Environment,Business Analytics Project,Finance 1B,Financial Statement Analysis,Applied Portfolio Management,Information Systems and Business Processes,Psychological Science: Putting Theory into Practice,International Exchange Experience,International Studies Internship,C German Studies 4,Civil and Criminal Procedure,Competition Law,International Human Rights Law,Law and Technology
BA,Macquarie University,North Ryde,Bachelor of Commerce with a Major in Management,Computer Science & Information Technology,,"14,500",AUD,Years,3,Years,Yes,Yes,ATAR,80,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-commerce-management,English,I,"Management comprises planning, organising, leading or directing, and controlling an organisation or effort for the purpose of achieving a goal. The best business managers enable effective organisational decision making and are equally talented at managing business matters as they are at managing people.
This major focuses on the crucial role of modern, connected and versatile managers, and will prepare you for a career in management in local and international settings. You’ll learn key management, leadership and organisational concepts and principles, and apply them to a range of business contexts. Developing strong critical thinking, you’ll evaluate issues relating to business ethics and sustainability in addressing business challenges. Building knowledge and skills in critical, strategic and integrated thinking, you’ll also develop higher-level skills to help you excel in areas such as leading people, communicating clearly and effectively, working collaboratively, adapting to change, innovating and managing diversity.",PROFESSIONS: Business manager. Management consultant. Public or community sector manager. Public or private organisation managerEMPLOYERS: Business analyst firms. Consulting firms. Family businesses. Government organisations. Large and small businesses. Marketing and public relations firms. Not-for-profit organisations,Australia,No,Yes,No,Yes,No,,Issues in Corporate Finance,Accounting in Society,Principles of Economics 1,HRM Project,Marketing Fundamentals,Operations Management,Marketing Project,Management Ethics and Social Responsibility,Organisational Behaviour,Finance 1A,Application of Business Models,Strategic Management,Agility and Excellence in Business,Leadership in Management,Managing Change in Organisations,Management Communication,International Business Project,Business Statistics,Current Issues in Economics,Student Leadership in Community Engagement,Principles of Management,The Art of Negotiation,Management Project,Computing Industry Project,Entrepreneurship Project,Business Analytics Project,Accountants in the Profession,Business Analytics Project,Finance 1B,Financial Statement Analysis,Applied Portfolio Management,Information Systems and Business Processes,Psychological Science: Putting Theory into Practice,International Exchange Experience,International Studies Internship,C German Studies 4,Civil and Criminal Procedure,Competition Law,International Human Rights Law,Law and Technology
BA,Macquarie University,North Ryde,Bachelor of Commerce with a Major in Marketing and Consumer Insights,Humanities and Social Science,,"14,500",AUD,Years,3,Years,Yes,Yes,ATAR,80,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-commerce-marketing-and-consumer-insights,English,I,"In today’s competitive, globally connected and data-rich business environment, organisations increasingly rely on consumer and market insights to help spark innovation and inform strategic decisions. Insights provide deep understanding of relevant, actionable and previously unidentified market trends and consumer needs, beliefs, motivations and experiences. Marketers discover insights through the use of qualitative and quantitative methods, tools and analytic techniques grounded in advanced theoretical perspectives.
This major will equip you with the skills to help organisations gain valuable insights from market research – insights that allow them to anticipate future consumer needs, identify detrimental trends, forecast market conditions, gauge competition, make informed predictions and adapt to an ever-changing environment.","PROFESSIONS: Advertising solutions analyst. Brand analyst. Market analytics and consumer insights leader. Consumer insights consultant. Digital analytics consultant. Market research analyst. Segmentation specialistEMPLOYERS: Advertising, media and public relations agencies. Business analyst firms. Consulting firms. Government organisations. Large and small businesses. Market research firms. Marketing and public relations firms. Not-for-profit organisations. Social enterprises. Start-ups. Universities",Australia,No,Yes,No,Yes,No,,Computing Industry Project,Marketing Project,Marketing Media Insights,Integrated Marketing Communications,Principles of Economics 1,Marketing Metrics,Qualitative Insights,Student Leadership in Community Engagement,Accountants in the Profession,Entrepreneurship Project,HRM Project,Management Project,International Business Project,Social Change Marketing,Applied Quantitative Research,Business Statistics,Marketing Research,Business Analytics Project,Consumer Behaviour,Issues in Corporate Finance,Agility and Excellence in Business,Marketing Fundamentals,Finance 1A,Current Issues in Economics,Principles of Management,Marketing and Customer Insights,Accounting in Society,Business Analytics Project,Finance 1B,Financial Statement Analysis,Applied Portfolio Management,Information Systems and Business Processes,Psychological Science: Putting Theory into Practice,International Exchange Experience,International Studies Internship,C German Studies 4,Civil and Criminal Procedure,Competition Law,International Human Rights Law,Law and Technology
BA,Macquarie University,North Ryde,Bachelor of Commerce with a Major in Marketing Management,Computer Science & Information Technology,,"14,500",AUD,Years,3,Years,Yes,Yes,ATAR,80,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-commerce-marketing-management,English,I,"Marketing contributes to an organisation’s profitability and sustainable performance, while providing value for consumers and for society on a broader scale. Marketing management is a combination of specific actions, activities and processes an organisation uses to develop and implement its total marketing agenda. In our globalised world, marketing plays a significant part in every organisation as a core business function driving organisational growth and success.
This major will prepare you to operate and manage in rapidly changing markets, where organisations require a deep understanding of the strategic marketing issues that directly impact corporate performance. With strong analytical skills, creative ability and a sound strategic focus, you’ll be prepared for marketing positions where you can use your knowledge and skills to make socially responsible, informed decisions.","PROFESSIONS: Advertising and marketing communications specialist. Brand management specialist. Business analyst. Customer service specialist. Entrepreneur. Management consultant. Market communications/strategy analyst/adviser. Market research consultant. Marketing specialist. Media analyst. Product developer. Retail manager. Sales specialistEMPLOYERS: Advertising, media and public relations agencies. Business analyst firms. Consulting firms. Government organisations. Large and small businesses. Manufacturers. Market research firms. Marketing and public relations organisations. Not-for-profit organisations. Service and retail firms. Social enterprises. Start-up and think tanks. Tourism and hospitality firms",Australia,No,Yes,No,Yes,No,,HRM Project,Marketing Project,Sales and Personal Selling,International Business Project,Principles of Economics 1,Agility and Excellence in Business,Services Marketing,Management Project,Business Statistics,Brand Management,Marketing Fundamentals,Entrepreneurship Project,New Venture Marketing,Principles of Management,Accounting in Society,Accountants in the Profession,Marketing Management,Marketing Research,Consumer Behaviour,Business Analytics Project,Finance 1A,Digital Marketing,Issues in Corporate Finance,Computing Industry Project,Current Issues in Economics,Marketing Strategy,Business to Business Marketing,Integrated Marketing Communications,Student Leadership in Community Engagement,Financial Statement Analysis,Applied Portfolio Management,Information Systems and Business Processes,Psychological Science: Putting Theory into Practice,International Exchange Experience,International Studies Internship,C German Studies 4,Civil and Criminal Procedure,Competition Law,International Human Rights Law,Law and Technology
BA,Macquarie University,North Ryde,Bachelor of Environment with a Major in Environmental Sciences,Computer Science & Information Technology,,"7,950",AUD,Years,3,Years,Yes,Yes,ATAR,84,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-environment-environmental-sciences,English,I,"Environmental science is concerned with understanding natural processes, how they connect to form the natural environment and how – by measuring these processes – we can establish, disentangle and manage the impact and effect of human disturbances, climate change and environmental pollution.
 This major will prepare you to tackle the big environmental and climatic issues of today and tomorrow, and provides a direct path to a career in the environmental sector, particularly as an environmental scientist. It focuses on hands-on practical learning in the field and the lab, where you’ll explore critical topics, including soil formation and health; geomorphology of rivers, wetlands, coasts and dunes, as well as management of these environments; pollutants and contaminants in soil, water and sediment; climate change and atmospheric processes; urban air quality; extreme weather events; geospatial trends and visualisation; and interactions between the environment and human society. You’ll learn to assess the vulnerability of human societies, ecosystems, landscapes and the atmosphere; design and implement rigorous experiments and field-based projects; use advanced measurement and monitoring instruments; analyse and evaluate scientific data, including geographic information systems; and communicate complex findings to engage with environmental policy planning and inform decision making. You’ll boost your career prospects by developing skills and undertaking experiences that provide the perfect training ground for a practical career in assessing and understanding the environment.","PROFESSIONS: Air quality and pollution manager. Climate consultant. Contaminated land assessor. Environmental consultant. Environmental researcher. Environmental scientist. Land care and catchment manager. Local council environmental officer. Meteorologist. National parks officer and manager. Oceanographer. Project manager. Resource manager. River and water manager. Soil scientist. Spatial information officerEMPLOYERS: Australian government agencies, eg, Australian Antarctic Division, CSIRO, Department of the Environment and Energy, Geoscience Australia, Murray-Darling Basin Authority. Climate and meteorological services, eg, Bureau of Meteorology, Weather Zone. Environmental consultancies. Environmental groups, not-for-profit organisations and charities, eg, National Parks Association NSW, Wilderness Society, Planet Ark Environmental Foundation, Kimberley Foundation. Environment protection authorities. Government research offices and data centres. Local government. Mining companies and other natural resource companies. Non-government and agricultural organisations related to the environment and conservation. State government agencies, eg, Department of Planning, Industry and Environment NSW, National Parks and Wildlife Service NSW; WaterNSW; Department of Environment, Land, Water and Planning Victoria; Department of Environment and Science Queensland. Research institutions. Rural/country fire services",Australia,No,Yes,No,Yes,No,,"Climate Change, Energy and Our Future",Introductory Statistics,Environment Skills,Introduction to Geographic Information Science and Remote Sensing,Environmental Management Project,Earth Surface Processes,"Blue Planet: Oceans, Climate and Life",Geomorphic Analysis of Rivers and Wetlands for Conservation and Management,Ecology,Climate and Oceans,Environmental Change,Urban Climate and Air Quality,The Living Environment,Environmental Quality and Assessment,Organisms to Ecosystems,Environmental Management for a Changing World,Marketing Management,Marketing Research,Consumer Behaviour,Business Analytics Project,Finance 1A,Digital Marketing,Issues in Corporate Finance,Computing Industry Project,Current Issues in Economics,Marketing Strategy,Business to Business Marketing,Integrated Marketing Communications,Student Leadership in Community Engagement,Financial Statement Analysis,Applied Portfolio Management,Information Systems and Business Processes,Psychological Science: Putting Theory into Practice,International Exchange Experience,International Studies Internship,C German Studies 4,Civil and Criminal Procedure,Competition Law,International Human Rights Law,Law and Technology
BA,Macquarie University,North Ryde,Bachelor of Environment with a Major in Environmental Management,Computer Science & Information Technology,,"7,950",AUD,Years,3,Years,Yes,Yes,ATAR,84,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-environment-environmental-management,English,I,"Environmental management focuses on the complexity of environmental issues that are facing society today, including the interrelationships between humans and their environments, population growth, the increasing development and consumption of resources, waste management and pollution, climate change and the urgent need for a more sustainable future.
This major will give you a solid grounding in the role of environmental management, its key principles, concepts and approaches, and its importance in a global society. By focusing on real-world problems and case studies, you’ll gain in-depth knowledge and understanding of the dynamic interplay between different physical, social, political, economic and cultural drivers, as well as skills in sourcing, analysing and integrating different forms of information. You’ll be well placed to investigate environmental management issues and apply high-level skills to contribute to the development of innovative solutions that address current and future global environmental challenges.","PROFESSIONS: Environmental consultant. Environmental manager. Environmental policy officer. Environmental sustainability officer. Land care and catchment manager. Local council environmental officer. National parks manager. Researcher. Resource manager. Spatial information officerEMPLOYERS: Australian Government agencies, eg, Department of the Environment and Energy, Commonwealth Environmental Water Office, Murray-Darling Basin Authority. Environmental consultancies. Local government. Mining and other natural resource companies. Non-government and conservation organisations, eg, National Parks Association NSW, Bush Heritage Australia, Nature Conservation Council, Wilderness Society. State government agencies, eg, Department of Planning, Industry and Environment NSW, National Parks and Wildlife Service NSW; WaterNSW; Department of Environment, Land, Water and Planning Victoria; Department of Environment and Science Queensland",Australia,No,Yes,No,Yes,No,,Global Environmental Politics,Environmental Management for a Changing World,Environmental Management Project,Environmental Law,Introduction to Geographic Information Science and Remote Sensing,"Natural Hazards, Disasters and their Management",Introductory Statistics,"Climate Change, Energy and Our Future",Sustainability in International Business,Environmental Management,Environment Skills,The Living Environment,Environmental Analysis Using Remote Sensing and GIS,Australian Environmental Futures,Demographic Fundamentals,"Blue Planet: Oceans, Climate and Life",Marketing Management,Marketing Research,Consumer Behaviour,Business Analytics Project,Finance 1A,Digital Marketing,Issues in Corporate Finance,Computing Industry Project,Current Issues in Economics,Marketing Strategy,Business to Business Marketing,Integrated Marketing Communications,Student Leadership in Community Engagement,Financial Statement Analysis,Applied Portfolio Management,Information Systems and Business Processes,Psychological Science: Putting Theory into Practice,International Exchange Experience,International Studies Internship,C German Studies 4,Civil and Criminal Procedure,Competition Law,International Human Rights Law,Law and Technology
BA,Macquarie University,North Ryde,Bachelor of Environment with a Major in Environmental Geoscience is unavailable,Computer Science & Information Technology,,"7,950",AUD,Years,3,Years,No,No,ATAR,84,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-environment-environmental-geoscience,English,N,"Environmental management focuses on the complexity of environmental issues that are facing society today, including the interrelationships between humans and their environments, population growth, the increasing development and consumption of resources, waste management and pollution, climate change and the urgent need for a more sustainable future.
This major will give you a solid grounding in the role of environmental management, its key principles, concepts and approaches, and its importance in a global society. By focusing on real-world problems and case studies, you’ll gain in-depth knowledge and understanding of the dynamic interplay between different physical, social, political, economic and cultural drivers, as well as skills in sourcing, analysing and integrating different forms of information. You’ll be well placed to investigate environmental management issues and apply high-level skills to contribute to the development of innovative solutions that address current and future global environmental challenges.","PROFESSIONS: Environmental consultant. Environmental manager. Environmental policy officer. Environmental sustainability officer. Land care and catchment manager. Local council environmental officer. National parks manager. Researcher. Resource manager. Spatial information officerEMPLOYERS: Australian Government agencies, eg, Department of the Environment and Energy, Commonwealth Environmental Water Office, Murray-Darling Basin Authority. Environmental consultancies. Local government. Mining and other natural resource companies. Non-government and conservation organisations, eg, National Parks Association NSW, Bush Heritage Australia, Nature Conservation Council, Wilderness Society. State government agencies, eg, Department of Planning, Industry and Environment NSW, National Parks and Wildlife Service NSW; WaterNSW; Department of Environment, Land, Water and Planning Victoria; Department of Environment and Science Queensland",Australia,No,No,No,No,No,,Global Environmental Politics,Environmental Management for a Changing World,Environmental Management Project,Environmental Law,Introduction to Geographic Information Science and Remote Sensing,"Natural Hazards, Disasters and their Management",Introductory Statistics,"Climate Change, Energy and Our Future",Sustainability in International Business,Environmental Management,Environment Skills,The Living Environment,Environmental Analysis Using Remote Sensing and GIS,Australian Environmental Futures,Demographic Fundamentals,"Blue Planet: Oceans, Climate and Life",Marketing Management,Marketing Research,Consumer Behaviour,Business Analytics Project,Finance 1A,Digital Marketing,Issues in Corporate Finance,Computing Industry Project,Current Issues in Economics,Marketing Strategy,Business to Business Marketing,Integrated Marketing Communications,Student Leadership in Community Engagement,Financial Statement Analysis,Applied Portfolio Management,Information Systems and Business Processes,Psychological Science: Putting Theory into Practice,International Exchange Experience,International Studies Internship,C German Studies 4,Civil and Criminal Procedure,Competition Law,International Human Rights Law,Law and Technology
BA,Macquarie University,North Ryde,Bachelor of Environment with a Major in Environmental Biology is unavailable,Computer Science & Information Technology,,"7,950",AUD,Years,3,Years,No,No,ATAR,84,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-environment-environmental-biology,English,N,"Environmental management focuses on the complexity of environmental issues that are facing society today, including the interrelationships between humans and their environments, population growth, the increasing development and consumption of resources, waste management and pollution, climate change and the urgent need for a more sustainable future.
This major will give you a solid grounding in the role of environmental management, its key principles, concepts and approaches, and its importance in a global society. By focusing on real-world problems and case studies, you’ll gain in-depth knowledge and understanding of the dynamic interplay between different physical, social, political, economic and cultural drivers, as well as skills in sourcing, analysing and integrating different forms of information. You’ll be well placed to investigate environmental management issues and apply high-level skills to contribute to the development of innovative solutions that address current and future global environmental challenges.","PROFESSIONS: Environmental consultant. Environmental manager. Environmental policy officer. Environmental sustainability officer. Land care and catchment manager. Local council environmental officer. National parks manager. Researcher. Resource manager. Spatial information officerEMPLOYERS: Australian Government agencies, eg, Department of the Environment and Energy, Commonwealth Environmental Water Office, Murray-Darling Basin Authority. Environmental consultancies. Local government. Mining and other natural resource companies. Non-government and conservation organisations, eg, National Parks Association NSW, Bush Heritage Australia, Nature Conservation Council, Wilderness Society. State government agencies, eg, Department of Planning, Industry and Environment NSW, National Parks and Wildlife Service NSW; WaterNSW; Department of Environment, Land, Water and Planning Victoria; Department of Environment and Science Queensland",Australia,No,No,No,No,No,,Global Environmental Politics,Environmental Management for a Changing World,Environmental Management Project,Environmental Law,Introduction to Geographic Information Science and Remote Sensing,"Natural Hazards, Disasters and their Management",Introductory Statistics,"Climate Change, Energy and Our Future",Sustainability in International Business,Environmental Management,Environment Skills,The Living Environment,Environmental Analysis Using Remote Sensing and GIS,Australian Environmental Futures,Demographic Fundamentals,"Blue Planet: Oceans, Climate and Life",Marketing Management,Marketing Research,Consumer Behaviour,Business Analytics Project,Finance 1A,Digital Marketing,Issues in Corporate Finance,Computing Industry Project,Current Issues in Economics,Marketing Strategy,Business to Business Marketing,Integrated Marketing Communications,Student Leadership in Community Engagement,Financial Statement Analysis,Applied Portfolio Management,Information Systems and Business Processes,Psychological Science: Putting Theory into Practice,International Exchange Experience,International Studies Internship,C German Studies 4,Civil and Criminal Procedure,Competition Law,International Human Rights Law,Law and Technology
BA,Macquarie University,North Ryde,Bachelor of Human Sciences with a Major in Cognitive and Brain Sciences is unavailable,Computer Science & Information Technology,,"7,950",AUD,Years,3,Years,No,No,ATAR,84,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-human-sciences-cognitive-and-brain-sciences,English,N,"Environmental management focuses on the complexity of environmental issues that are facing society today, including the interrelationships between humans and their environments, population growth, the increasing development and consumption of resources, waste management and pollution, climate change and the urgent need for a more sustainable future.
This major will give you a solid grounding in the role of environmental management, its key principles, concepts and approaches, and its importance in a global society. By focusing on real-world problems and case studies, you’ll gain in-depth knowledge and understanding of the dynamic interplay between different physical, social, political, economic and cultural drivers, as well as skills in sourcing, analysing and integrating different forms of information. You’ll be well placed to investigate environmental management issues and apply high-level skills to contribute to the development of innovative solutions that address current and future global environmental challenges.","PROFESSIONS: Environmental consultant. Environmental manager. Environmental policy officer. Environmental sustainability officer. Land care and catchment manager. Local council environmental officer. National parks manager. Researcher. Resource manager. Spatial information officerEMPLOYERS: Australian Government agencies, eg, Department of the Environment and Energy, Commonwealth Environmental Water Office, Murray-Darling Basin Authority. Environmental consultancies. Local government. Mining and other natural resource companies. Non-government and conservation organisations, eg, National Parks Association NSW, Bush Heritage Australia, Nature Conservation Council, Wilderness Society. State government agencies, eg, Department of Planning, Industry and Environment NSW, National Parks and Wildlife Service NSW; WaterNSW; Department of Environment, Land, Water and Planning Victoria; Department of Environment and Science Queensland",Australia,No,No,No,No,No,,Global Environmental Politics,Environmental Management for a Changing World,Environmental Management Project,Environmental Law,Introduction to Geographic Information Science and Remote Sensing,"Natural Hazards, Disasters and their Management",Introductory Statistics,"Climate Change, Energy and Our Future",Sustainability in International Business,Environmental Management,Environment Skills,The Living Environment,Environmental Analysis Using Remote Sensing and GIS,Australian Environmental Futures,Demographic Fundamentals,"Blue Planet: Oceans, Climate and Life",Marketing Management,Marketing Research,Consumer Behaviour,Business Analytics Project,Finance 1A,Digital Marketing,Issues in Corporate Finance,Computing Industry Project,Current Issues in Economics,Marketing Strategy,Business to Business Marketing,Integrated Marketing Communications,Student Leadership in Community Engagement,Financial Statement Analysis,Applied Portfolio Management,Information Systems and Business Processes,Psychological Science: Putting Theory into Practice,International Exchange Experience,International Studies Internship,C German Studies 4,Civil and Criminal Procedure,Competition Law,International Human Rights Law,Law and Technology
BA,Macquarie University,North Ryde,Bachelor of Human Sciences with a Major in Community Services is unavailable,Computer Science & Information Technology,,"7,950",AUD,Years,3,Years,No,No,ATAR,84,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-human-sciences-community-services,English,N,"Environmental management focuses on the complexity of environmental issues that are facing society today, including the interrelationships between humans and their environments, population growth, the increasing development and consumption of resources, waste management and pollution, climate change and the urgent need for a more sustainable future.
This major will give you a solid grounding in the role of environmental management, its key principles, concepts and approaches, and its importance in a global society. By focusing on real-world problems and case studies, you’ll gain in-depth knowledge and understanding of the dynamic interplay between different physical, social, political, economic and cultural drivers, as well as skills in sourcing, analysing and integrating different forms of information. You’ll be well placed to investigate environmental management issues and apply high-level skills to contribute to the development of innovative solutions that address current and future global environmental challenges.","PROFESSIONS: Environmental consultant. Environmental manager. Environmental policy officer. Environmental sustainability officer. Land care and catchment manager. Local council environmental officer. National parks manager. Researcher. Resource manager. Spatial information officerEMPLOYERS: Australian Government agencies, eg, Department of the Environment and Energy, Commonwealth Environmental Water Office, Murray-Darling Basin Authority. Environmental consultancies. Local government. Mining and other natural resource companies. Non-government and conservation organisations, eg, National Parks Association NSW, Bush Heritage Australia, Nature Conservation Council, Wilderness Society. State government agencies, eg, Department of Planning, Industry and Environment NSW, National Parks and Wildlife Service NSW; WaterNSW; Department of Environment, Land, Water and Planning Victoria; Department of Environment and Science Queensland",Australia,No,No,No,No,No,,Global Environmental Politics,Environmental Management for a Changing World,Environmental Management Project,Environmental Law,Introduction to Geographic Information Science and Remote Sensing,"Natural Hazards, Disasters and their Management",Introductory Statistics,"Climate Change, Energy and Our Future",Sustainability in International Business,Environmental Management,Environment Skills,The Living Environment,Environmental Analysis Using Remote Sensing and GIS,Australian Environmental Futures,Demographic Fundamentals,"Blue Planet: Oceans, Climate and Life",Marketing Management,Marketing Research,Consumer Behaviour,Business Analytics Project,Finance 1A,Digital Marketing,Issues in Corporate Finance,Computing Industry Project,Current Issues in Economics,Marketing Strategy,Business to Business Marketing,Integrated Marketing Communications,Student Leadership in Community Engagement,Financial Statement Analysis,Applied Portfolio Management,Information Systems and Business Processes,Psychological Science: Putting Theory into Practice,International Exchange Experience,International Studies Internship,C German Studies 4,Civil and Criminal Procedure,Competition Law,International Human Rights Law,Law and Technology
